Sentence,Tense,Verb,NER Tag,encode_sent
tow truck come here,1,come,"0,0,1,0","0, 7194, 971, 553, 402, 2"
where,0,None,0,"0, 442, 2"
oh yeah,0,None,"0,0","0, 332, 642, 2"
that's a big truck,1,s,"0,4,0,0,0","0, 363, 279, 265, 535, 971, 2"
there goes another one,1,goes,"0,1,0,0","0, 461, 759, 754, 383, 2"
busy bulldozer,0,None,"0,0","0, 8350, 6279, 2"
yes look another one,1,look,"0,1,0,0","0, 506, 415, 754, 383, 2"
Bozo,0,None,0,"0, 12636, 2"
did you show Ursula that,2,did,"2,0,3,0,0","0, 546, 273, 873, 4436, 296, 2"
do you know,1,do,"1,0,3","0, 410, 273, 378, 2"
what those are,1,are,"0,0,1","0, 312, 594, 385, 2"
I guess,1,guess,"0,1","0, 45, 1020, 2"
she might like to see that,1,might,"0,7,3,0,3,0","0, 531, 976, 349, 302, 384, 296, 2"
what kind of hat is that,1,is,"0,0,0,0,1,0","0, 312, 549, 340, 978, 328, 296, 2"
Adam's hat,0,None,"0,0,0","0, 2637, 279, 978, 2"
where have you seen a hat like that,1,have,"0,1,0,8,0,0,0,0","0, 442, 381, 273, 1271, 265, 978, 349, 296, 2"
what do you think this is,1,do,"0,1,0,3,0,1","0, 312, 299, 273, 399, 346, 328, 2"
Humpty Dumpty,0,None,"0,0","0, 8149, 7429, 2"
no,0,None,0,"0, 286, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
not the kind you hit,1,hit,"0,0,0,0,1","0, 829, 272, 549, 273, 1467, 2"
but the kind you kick,1,kick,"0,0,0,0,1","0, 545, 272, 549, 273, 2287, 2"
so what kind of ball is that,1,is,"0,0,0,0,0,1,0","0, 513, 339, 549, 340, 690, 328, 296, 2"
not shoe ball,0,None,"0,0,0","0, 829, 1499, 690, 2"
foot ball,0,None,"0,0","0, 4263, 690, 2"
I saw a tank truck,2,saw,"0,2,0,0,0","0, 45, 1099, 265, 4074, 971, 2"
you change the kitty's diaper,1,change,"0,1,0,0,0,0","0, 266, 1832, 272, 1015, 279, 1780, 2"
was he dirty,2,was,"2,0,0","0, 1410, 301, 1591, 2"
okay kitty what,0,None,"0,0,0","0, 367, 1015, 339, 2"
Adam fall toy,1,fall,"0,1,0","0, 2637, 1048, 1208, 2"
you didn't fall that time,2,didn't,"0,2,0,3,0,0","0, 266, 611, 309, 1048, 296, 627, 2"
you just sat down,2,sat,"0,0,2,0","0, 266, 458, 2841, 483, 2"
that one doesn't have a bunny on,1,doesn't have,"0,0,1,0,3,0,0,0","0, 363, 383, 644, 309, 381, 265, 1185, 307, 2"
those are her paper clips,1,are,"0,1,0,0,0","0, 1144, 385, 470, 1243, 9837, 2"
you don't need a pencil,1,don't,"0,1,0,3,0,0","0, 266, 358, 309, 664, 265, 2746, 2"
you had a pencil,2,had,"0,2,0,0","0, 266, 630, 265, 2746, 2"
here's a pencil,1,s,"0,4,0,0","0, 355, 279, 265, 2746, 2"
thank you,1,thank,"1,0","0, 764, 273, 2"
why don't you take that over,1,don't,"0,1,0,0,3,0,0","0, 601, 358, 309, 273, 577, 296, 521, 2"
and show it to him,1,show,"0,1,0,0,0","0, 347, 873, 290, 302, 502, 2"
maybe he likes ball players,1,likes,"0,0,1,0,0","0, 882, 301, 945, 690, 8187, 2"
do you think he would,1,do,"1,0,3,0,7","0, 410, 273, 399, 301, 559, 2"
did you show him the ball player,2,did,"2,0,3,0,0,0,0","0, 546, 273, 873, 502, 272, 690, 3343, 2"
your ball player,0,None,"0,0,0","0, 1009, 690, 3343, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
boots yes,0,None,"0,0","0, 10534, 860, 2"
no Mr Greenjeans isn't on now,1,isn't,"0,0,0,1,0,0,0","0, 286, 2695, 33546, 918, 309, 307, 508, 2"
wouldn't you like to pick these up,1,wouldn't,"7,0,0,3,0,0,0,0","0, 5092, 309, 273, 349, 302, 895, 596, 403, 2"
part what trailer,0,None,"0,0,0","0, 5902, 339, 6110, 2"
is that part of the two truck,1,is,"1,0,0,0,0,0,0","0, 281, 296, 1031, 340, 272, 659, 971, 2"
night night,0,None,"0,0","0, 1487, 905, 2"
are you ready to go night night,1,are,"1,0,0,0,3,0,0","0, 472, 273, 974, 302, 316, 905, 905, 2"
what kind of hat is that,1,is,"0,0,0,0,1,0","0, 312, 549, 340, 978, 328, 296, 2"
you hit your head didn't you,2,hit,"0,2,0,0,2,0,0","0, 266, 1467, 345, 870, 611, 309, 273, 2"
did it hurt,2,did,"2,0,0","0, 546, 290, 1173, 2"
poor head,0,None,"0,0","0, 2719, 870, 2"
don't pull Mommy,1,don't,"1,0,0,0","0, 629, 309, 1108, 688, 2"
put pillow on the floor,1,put,"1,0,0,0,0","0, 676, 2349, 307, 272, 1191, 2"
you want Mommy to sit on the floor,1,want,"0,1,0,0,3,0,0,0","0, 266, 427, 688, 302, 726, 307, 272, 1191, 2"
you sit floor,1,sit,"0,1,0","0, 266, 726, 1191, 2"
what do you want Mommy to do,1,do,"0,1,0,3,0,0,3","0, 312, 299, 273, 427, 688, 302, 299, 2"
do you want Mommy to stand up,1,do,"1,0,3,0,0,3,0","0, 410, 273, 427, 688, 302, 1211, 403, 2"
Mommy stand up,1,stand,"0,1,0","0, 1087, 1211, 403, 2"
alright,0,None,0,"0, 671, 2"
Adam what,0,None,"0,0","0, 2637, 339, 2"
what about the chair,0,None,"0,0,0,0","0, 312, 482, 272, 910, 2"
nice pony,0,None,"0,0","0, 2058, 3652, 2"
what's your pony's name,1,s,"0,4,0,0,0,0","0, 312, 279, 345, 3652, 279, 766, 2"
may please,1,may,"7,0","0, 3158, 909, 2"
what do you want that for,1,do,"0,1,0,3,0,0","0, 312, 299, 273, 427, 296, 397, 2"
fix kitty,1,fix,"1,0","0, 4598, 1015, 2"
make mosquito,1,make,"1,0","0, 1727, 7139, 2"
fine book,0,None,"0,0","0, 4307, 523, 2"
that's Daddy's filing case,1,s,"0,4,0,0,0,0","0, 363, 279, 825, 279, 24678, 3920, 2"
don't take those out,1,do,"1,0,3,0,0","0, 629, 309, 577, 594, 428, 2"
leave them in there,1,leave,"1,0,0,0","0, 2424, 495, 318, 386, 2"
why not,0,None,"0,0","0, 601, 419, 2"
because they're Daddy's,1,re,"0,0,4,0,0","0, 1066, 412, 375, 825, 279, 2"
what is in there,1,is,"0,1,0,0","0, 312, 328, 318, 386, 2"
oh,0,None,0,"0, 332, 2"
get Adam's bike,1,get,"1,0,0,0","0, 657, 1834, 279, 2126, 2"
what pillow,0,None,"0,0","0, 312, 2349, 2"
that's a good one to jump on,1,s,"0,4,0,0,0,0,3,0","0, 363, 279, 265, 455, 383, 302, 1155, 307, 2"
which book,0,None,"0,0","0, 1106, 523, 2"
that's not really a boy's book,1,s,"0,4,0,0,0,0,0,0","0, 363, 279, 419, 597, 265, 694, 279, 523, 2"
see,1,see,1,"0, 584, 2"
there are no pictures,1,are,"0,1,0,0","0, 461, 385, 361, 1614, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
he sticks to me like,1,sticks,"0,1,0,0,0","0, 262, 3248, 302, 376, 349, 2"
and scares away,1,scares,"0,1,0","0, 347, 7605, 785, 2"
and surprise me with a shower,1,surprise,"0,1,0,0,0,0","0, 347, 3723, 376, 392, 265, 3667, 2"
I'm a copy cat just like,1,m,"0,4,0,0,0,0,0","0, 45, 488, 265, 6468, 859, 458, 349, 2"
build a castle out of,1,build,"1,0,0,0,0","0, 4973, 265, 4261, 428, 340, 2"
and pats it carefully with his,1,pats,"0,1,0,0,0,0","0, 347, 13365, 290, 5143, 392, 505, 2"
did you read that,2,did,"2,0,3,0","0, 546, 273, 569, 296, 2"
you gave it to him,2,gave,"0,2,0,0,0","0, 266, 1470, 290, 302, 502, 2"
go get it,1,go,"1,3,0","0, 741, 394, 290, 2"
go get what,1,go,"1,3,0","0, 741, 394, 339, 2"
what am I,1,am,"0,1,0","0, 312, 1310, 322, 2"
I help to move rocks,1,help,"0,1,0,3,0","0, 45, 774, 302, 1227, 3102, 2"
what is this,1,is,"0,1,0","0, 312, 328, 346, 2"
what am I,1,am,"0,1,0","0, 312, 1310, 322, 2"
are you looking at the book,1,are looking,"1,0,5,0,0,0","0, 472, 273, 1095, 396, 272, 523, 2"
what is this,1,is,"0,1,0","0, 312, 328, 346, 2"
no,0,None,0,"0, 286, 2"
no that's a tape recorder,1,s,"0,0,4,0,0,0","0, 286, 296, 279, 265, 1228, 1851, 2"
yes tape recorder,0,None,"0,0,0","0, 506, 1228, 1851, 2"
read bunny,1,read,"1,0","0, 739, 1185, 2"
can the bunny read,1,can,"1,0,0,3","0, 473, 272, 1185, 569, 2"
oh you're going to read to the bunny,3,re going to,"0,0,4,5,0,3,0,0,0","0, 332, 273, 375, 497, 302, 569, 302, 272, 1185, 2"
that's a good idea,1,s,"0,4,0,0,0","0, 363, 279, 265, 455, 1414, 2"
you can't write,1,can't,"0,7,0,3","0, 266, 377, 309, 1330, 2"
he can write but Adam can't write yet,1,can,"0,7,3,0,0,7,0,3,0","0, 262, 377, 1330, 493, 1834, 377, 309, 1330, 1159, 2"
mosquito,0,None,0,"0, 14762, 2"
I'll get you,3,ll,"0,6,3,0","0, 45, 436, 394, 273, 2"
poor Perro he was under the pillow,2,was,"0,0,0,2,0,0,0","0, 2719, 12652, 301, 405, 903, 272, 2349, 2"
who's that,1,s,"0,4,0","0, 478, 279, 296, 2"
that's little Robin Red Breast,1,s,"0,4,0,0,0,0,0,0","0, 363, 279, 439, 3560, 5908, 571, 267, 540, 2"
what's that,1,s,"0,4,0","0, 312, 279, 296, 2"
you leave his pencil in there Adam,1,leave,"0,1,0,0,0,0,0","0, 266, 1259, 505, 2746, 318, 386, 1834, 2"
look Adam,1,look,"1,0","0, 457, 1834, 2"
here's one,1,s,"0,4,0","0, 355, 279, 383, 2"
do you know this one,1,do,"1,0,3,0,0","0, 410, 273, 378, 346, 383, 2"
now what are you writing,1,are,"0,0,1,0,5","0, 330, 339, 385, 273, 3035, 2"
here,0,None,0,"0, 355, 2"
where's your piece of paper,1,s,"0,4,0,0,0,0","0, 442, 279, 345, 1038, 340, 1243, 2"
who's that,1,s,"0,4,0","0, 478, 279, 296, 2"
can you spell your name,1,can,"7,0,3,0,0","0, 473, 273, 2188, 345, 766, 2"
mustn't write on the book,1,mustn't,"7,0,3,0,0,0","0, 32456, 309, 1330, 307, 272, 523, 2"
alright,0,None,0,"0, 671, 2"
now is it nice and clean again,1,is,"0,1,0,0,0,0,0","0, 330, 328, 290, 666, 329, 1183, 691, 2"
pencil and paper alright,0,None,"0,0,0,0","0, 9588, 329, 1243, 1207, 2"
does your writing look like his,1,does,"1,0,0,3,0,0","0, 791, 345, 3035, 415, 349, 505, 2"
you tell me,1,tell,"0,1,0","0, 266, 621, 376, 2"
what are those up there,1,are,"0,1,0,0,0","0, 312, 385, 594, 403, 386, 2"
don't jump,1,don't,"1,0,3","0, 629, 309, 1155, 2"
he can't write,1,can't,"0,7,0,3","0, 262, 377, 309, 1330, 2"
when you jump,1,jump,"0,0,1","0, 952, 273, 1155, 2"
put dirt up,1,put,"1,0,0","0, 676, 3200, 403, 2"
are you a busy bulldozer,1,are,"1,0,0,0,0","0, 472, 273, 265, 2555, 6279, 2"
are you a busy bulldozer,1,are,"1,0,0,0,0","0, 472, 273, 265, 2555, 6279, 2"
lollipop,0,None,0,"0, 10699, 2"
why do you like to throw your book,1,do,"0,1,0,3,0,3,0,0","0, 601, 299, 273, 349, 302, 1037, 345, 523, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
oh you're like a bulldozer,1,re,"0,0,4,0,0,0","0, 332, 273, 375, 349, 265, 6279, 2"
no that's no funny,1,s,"0,0,4,0,0","0, 286, 296, 279, 361, 962, 2"
you had such a funny expression,2,had,"0,2,0,0,0,0","0, 266, 630, 1962, 265, 962, 9862, 2"
must go where,1,must,"7,3,0","0, 4309, 316, 605, 2"
no Mommy's going to be home,3,s going to,"0,0,4,5,0,3,0","0, 286, 688, 279, 497, 302, 372, 738, 2"
Adam will be home too,3,will,"0,9,3,0,0","0, 2637, 733, 372, 738, 498, 2"
too,0,None,0,"0, 2132, 2"
Catherine too,0,None,"0,0","0, 4679, 498, 2"
no,0,None,0,"0, 286, 2"
who,0,None,0,"0, 478, 2"
well Cliffy's at his house,1,s,"0,0,4,0,0,0","0, 492, 26544, 279, 396, 505, 713, 2"
Bozo,0,None,0,"0, 12636, 2"
I guess Cliffy looks at Bozo at her house,1,looks,"0,1,0,1,0,0,0,0,0","0, 45, 1020, 26544, 651, 396, 7385, 396, 470, 713, 2"
Cliffy looks at Bozo at her house,1,looks,"0,1,0,0,0,0,0,0","0, 7255, 3958, 651, 396, 7385, 396, 470, 713, 2"
your screwdriver isn't straight anymore,1,isn't,"0,0,1,0,0,0","0, 1009, 4415, 918, 309, 2432, 1391, 2"
how can you work,1,can,"0,7,0,3","0, 467, 377, 273, 855, 2"
how can you work,1,can,"0,7,0,3","0, 467, 377, 273, 855, 2"
put it box,1,put,"1,0,0","0, 676, 290, 901, 2"
you don't have anything else to put in the box do you,1,don't,"0,1,0,3,0,0,0,3,0,0,0,1,0","0, 266, 358, 309, 381, 941, 568, 302, 416, 318, 272, 901, 299, 273, 2"
what is that,1,isn't,"0,1,0","0, 312, 328, 296, 2"
this is your bulldozer,1,isn't,"0,1,0,0","0, 562, 328, 345, 6279, 2"
oh my Adam bulldozer alright,0,None,"0,0,0,0,0","0, 332, 510, 1834, 6279, 1207, 2"
careful,0,None,0,"0, 2041, 2"
don't hit his feet,1,don't,"1,0,3,0,0","0, 629, 309, 1467, 505, 1035, 2"
you like hit ball,1,like,"0,1,0,0","0, 266, 349, 1467, 690, 2"
isn't that part of your trailer,1,isn't,"1,0,0,0,0,0,0","0, 1670, 309, 296, 1031, 340, 345, 6110, 2"
you go get it,1,go,"0,1,3,0","0, 266, 316, 394, 290, 2"
I'll go get it,3,ll,"0,6,3,3,0","0, 45, 436, 316, 394, 290, 2"
how did you get them in there,2,did,"0,2,0,3,0,0,0","0, 467, 407, 273, 394, 495, 318, 386, 2"
there's one,1,s,"0,4,0","0, 461, 279, 383, 2"
I guess,1,guess,"0,1","0, 45, 1020, 2"
he's working,1,s,"0,4,5","0, 262, 279, 2283, 2"
let's put the poor mailman's head back on,1,let's,"1,0,3,0,0,0,0,0,0,0","0, 489, 279, 416, 272, 2474, 4857, 279, 870, 511, 307, 2"
how can he see to deliver mail,1,can,"0,7,0,3,0,3,0","0, 467, 377, 301, 384, 302, 3713, 2206, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
tomato,0,None,0,"0, 10261, 2"
where is a tomato,1,is,"0,1,0,0","0, 442, 328, 265, 3397, 2"
who is that,1,is,"0,1,0","0, 478, 328, 296, 2"
who,0,None,0,"0, 478, 2"
Mary,0,None,0,"0, 5020, 2"
she's gone home,1,s,"0,4,8,0","0, 531, 279, 1581, 738, 2"
she went home in July,2,went,"0,2,0,0,0","0, 531, 775, 738, 318, 6216, 2"
why don't you come over here and play with the ball,1,don't,"0,1,0,0,3,0,0,0,3,0,0,0","0, 601, 358, 309, 273, 553, 521, 402, 329, 465, 392, 272, 690, 2"
you can get it,1,can,"0,7,3,0","0, 266, 377, 394, 290, 2"
you go get it,1,go,"0,1,3,0","0, 266, 316, 394, 290, 2"
Daddy's brief case,0,None,"0,0,0,0","0, 1494, 279, 7681, 3920, 2"
did you get the ball,2,did,"2,0,3,0,0","0, 546, 273, 394, 272, 690, 2"
where is it,1,is,"0,1,0","0, 442, 328, 290, 2"
those are Daddy's books,1,are,"0,1,0,0,0","0, 1144, 385, 825, 279, 1049, 2"
Daddy's and Mommy's,0,None,"0,0,0,0,0","0, 1494, 279, 329, 688, 279, 2"
would you like to have your books on the bookshelf too,1,would,"7,0,3,0,3,0,0,0,0,0,0","0, 954, 273, 349, 302, 381, 345, 1049, 307, 272, 11891, 498, 2"
let's see,1,let's,"1,0,3","0, 489, 279, 384, 2"
if there are any pictures in this book,1,are,"0,0,1,0,0,0,0,0","0, 426, 386, 385, 520, 1614, 318, 346, 523, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
no that's a church,1,s,"0,0,4,0,0","0, 286, 296, 279, 265, 3847, 2"
move your own road grader,0,None,"0,0,0,0,0","0, 2605, 345, 1610, 2495, 9587, 2"
go move the road grader,1,go,"1,3,0,0,0","0, 741, 1227, 272, 2495, 9587, 2"
you pick the road grader up,1,pick,"0,1,0,0,0,0","0, 266, 895, 272, 2495, 9587, 403, 2"
the dog doesn't want any paper does he,1,doesn't,"0,0,1,0,3,0,0,1,0","0, 321, 832, 644, 309, 427, 520, 1243, 462, 301, 2"
here doggie,0,None,"0,0","0, 355, 1407, 2"
that's not a record,1,s,"0,4,0,0,0","0, 363, 279, 419, 265, 2138, 2"
ask her,1,ask,"1,0","0, 1454, 470, 2"
what that is,1,is,"0,0,1","0, 312, 296, 328, 2"
that's a tape recorder,1,s,"0,4,0,0,0","0, 363, 279, 265, 1228, 1851, 2"
don't touch,1,don't,"1,0,3","0, 629, 309, 1190, 2"
what is it doing,1,is,"0,1,0,0","0, 312, 328, 290, 593, 2"
record is playing,1,is,"0,1,5","0, 14616, 328, 1124, 2"
what does it do when it plays,1,does,"0,1,0,3,0,0,1","0, 312, 462, 290, 299, 536, 290, 2308, 2"
do you hear a horn playing,1,do,"1,0,3,0,0,5","0, 410, 273, 960, 265, 3320, 1124, 2"
I don't hear a horn,1,don't,"0,1,0,3,0,0","0, 45, 358, 309, 960, 265, 3320, 2"
is there a horn on there,1,is,"1,0,0,0,0,0","0, 281, 386, 265, 3320, 307, 386, 2"
did he like the water,2,did,"2,0,3,0,0","0, 546, 301, 349, 272, 746, 2"
what do you see in there,1,do,"0,1,0,3,0,0","0, 312, 299, 273, 384, 318, 386, 2"
where does the ladder go,1,does,"0,1,0,0,0","0, 442, 462, 272, 3193, 316, 2"
can you put it on,1,can,"7,0,3,0,0","0, 473, 273, 416, 290, 307, 2"
can you put them in there,1,can,"7,0,3,0,0,0","0, 473, 273, 416, 495, 318, 386, 2"
I thought you couldn't do it,2,thought,"0,2,0,7,0,3,0","0, 45, 1006, 273, 1913, 309, 299, 290, 2"
you couldn't do it,2,couldn't,"0,7,0,0,0","0, 266, 1913, 309, 299, 290, 2"
that's no ladder for that,1,s,"0,4,0,0,0,0","0, 363, 279, 361, 3193, 397, 296, 2"
shall I put this back there,1,shall,"7,0,3,0,0,0","0, 1654, 322, 416, 346, 511, 386, 2"
you didn't watch where you were going,2,didn't,"0,2,0,3,0,0,2,5","0, 266, 611, 309, 1004, 605, 273, 623, 497, 2"
where you were going,2,were,"0,0,2,5","0, 442, 273, 623, 497, 2"
you read your paper,1,read,"0,1,0,0","0, 266, 569, 345, 1243, 2"
and I'll read mine,3,ll,"0,0,6,3,0","0, 347, 322, 436, 569, 1871, 2"
mine paper,0,None,"0,0","0, 3984, 1243, 2"
this is my paper here,1,is,"0,1,0,0,0","0, 562, 328, 510, 1243, 402, 2"
alright it's yours,1,s,"0,0,4,0","0, 671, 290, 279, 1511, 2"
are you going to say goodbye,3,are you going to,"1,0,5,0,3,0","0, 472, 273, 497, 302, 460, 3750, 2"
he's going out,1,s,"0,4,5,0","0, 262, 279, 497, 428, 2"
would you like some soup,1,would,"7,0,3,0,0","0, 954, 273, 349, 430, 1711, 2"
what kind of soup,0,None,"0,0,0,0","0, 312, 549, 340, 1711, 2"
well you told her to sit there,2,told,"0,0,2,0,0,3,0","0, 492, 273, 1382, 470, 302, 726, 386, 2"
that's the stool I use,1,s,"0,4,0,0,0,1","0, 363, 279, 272, 4358, 322, 876, 2"
when I wash dishes,1,wash,"0,0,1,0","0, 952, 322, 1392, 2604, 2"
minestrone,0,None,"0,0,0","0, 3915, 987, 24431, 2"
what's that,1,s,"0,4,0","0, 312, 279, 296, 2"
Mommy's tea,0,None,"0,0,0","0, 1087, 279, 1019, 2"
what are you doing Adam,1,are,"0,1,0,5,0","0, 312, 385, 273, 593, 1834, 2"
what do you want a napkin for,1,do,"0,1,0,3,0,0,0","0, 312, 299, 273, 427, 265, 2705, 397, 2"
is it sunny outside,1,is,"1,0,0,0","0, 281, 290, 5862, 1213, 2"
did you see the sun,2,did,"2,0,3,0,0","0, 546, 273, 384, 272, 1624, 2"
is that a lady,1,is,"1,0,0,0","0, 281, 296, 265, 1325, 2"
is it hot,1,is,"1,0,0","0, 281, 290, 1063, 2"
you can't reach it,1,can't,"0,7,0,3,0","0, 266, 377, 309, 2376, 290, 2"
put water in it,1,put,"1,0,0,0","0, 676, 746, 318, 290, 2"
Adam drive record,0,None,"0,0,0","0, 2637, 1684, 2138, 2"
where's your truck going,1,s,"0,4,0,0,5","0, 442, 279, 345, 971, 497, 2"
no there's your paper,1,s,"0,0,4,0,0","0, 286, 386, 279, 345, 1243, 2"
oh doggie write paper,1,write,"0,0,1,0","0, 332, 1407, 1330, 1243, 2"
that's a smart doggie,1,s,"0,4,0,0,0","0, 363, 279, 265, 2258, 1407, 2"
what did the doggie write,2,did,"0,2,0,0,3","0, 312, 407, 272, 1407, 1330, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
that's a hole,1,s,"0,4,0,0","0, 363, 279, 265, 1647, 2"
what did you see in the park this morning,2,did,"0,2,0,3,0,0,0,0,0","0, 312, 407, 273, 384, 318, 272, 1967, 346, 1216, 2"
oh climb,0,None,"0,0","0, 332, 1884, 2"
what did he climb,2,did,"0,2,0,3","0, 312, 407, 301, 1884, 2"
was he a big kitty,2,was,"2,0,0,0,0","0, 1410, 301, 265, 535, 1015, 2"
or was he a little kitty,2,was,"0,2,0,0,0,0","0, 313, 405, 301, 265, 439, 1015, 2"
no big kitty,0,None,"0,0,0","0, 286, 535, 1015, 2"
do you wanna write on here,1,do,"1,0,3,3,0,0","0, 410, 273, 423, 1330, 307, 402, 2"
Daddy went to school,2,went,"0,2,0,0","0, 1494, 775, 302, 828, 2"
car broke,2,broke,"0,2","0, 1989, 2296, 2"
those are her feet,1,are,"0,1,0,0","0, 1144, 385, 470, 1035, 2"
how many feet does she have,1,does,"0,0,0,1,0,3","0, 467, 907, 1035, 462, 404, 381, 2"
how many feet do you have,1,does,"0,0,0,1,0,3","0, 467, 907, 1035, 299, 273, 381, 2"
how many feet does Mr Cromer have,1,does,"0,0,0,1,0,0,3","0, 467, 907, 1035, 462, 2695, 4552, 381, 2"
what,0,None,0,"0, 312, 2"
Catherine stay tonight,1,stay,"0,1,0","0, 4679, 1013, 1710, 2"
no Mommy is going to stay tonight,3,is going to,"0,0,1,5,0,3,0","0, 286, 688, 328, 497, 302, 1013, 1710, 2"
yes Adam will stay tonight too,3,will,"0,0,9,3,0,0","0, 506, 1834, 733, 1013, 1710, 498, 2"
