Sentence,Tense,Verb,NER Tag
and show it to him,1,show,"0,1,0,0,0"
maybe he likes ball players,1,likes,"0,0,1,0,0"
do you think he would,1,do,"1,0,3,0,7"
did you show him the ball player,2,did,"2,0,3,0,0,0,0"
your ball player,0,None,"0,0,0"
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
boots yes,0,None,"0,0"
no Mr Greenjeans isn't on now,1,isn't,"0,0,0,1,0,0"
wouldn't you like to pick these up,1,wouldn't,"7,0,0,0,3,0,0"
part what trailer,0,None,"0,0,0"
is that part of the two truck,1,is,"1,0,0,0,0,0,0"
night night,0,None,"0,0"
are you ready to go night night,1,are,"1,0,0,0,3,0,0"
what kind of hat is that,1,is,"0,0,0,0,1,0"
you hit your head didn't you,2,hit,"0,2,0,0,2,0"
did it hurt,2,did,"2,0,0"
poor head,0,None,"0,0"
don't pull Mommy,1,don't,"1,0,0"
put pillow on the floor,1,put,"1,0,0,0,0"
you want Mommy to sit on the floor,1,want,"0,1,0,0,3,0,0,0"
you sit floor,1,sit,"0,1,0"
what do you want Mommy to do,1,do,"0,1,0,3,0,0,3"
do you want Mommy to stand up,1,do,"1,0,3,0,0,3,0"
Mommy stand up,1,stand,"0,1,0"
alright,0,None,0
Adam what,0,None,"0,0"
what about the chair,0,None,"0,0,0,0"
nice pony,0,None,
what's your pony's name,1,s,"4,0,0,0"
may please,1,may,"7,0"
what do you want that for,1,do,"0,1,0,3,0,0"
fix kitty,1,fix,"1,0"
make mosquito,1,make,"1,0"
fine book,0,None,
that's Daddy's filing case,1,s,"4,0,0,0"
don't take those out,1,do,"1,3,0,0"
leave them in there,1,leave,"1,0,0,0"
why not,0,None,
because they're Daddy's,1,re,"0,4,0"
what is in there,1,is,"0,1,0,0"
oh,0,None,
get Adam's bike,1,get,"1,0,0"
what pillow,0,None,
that's a good one to jump on,1,s,"4,0,0,0,0,3,0"
which book,0,None,
that's not really a boy's book,1,s,"4,0,0,0,0,0"
see ,1,see,1
there are no pictures,1,are,"0,1,0,0"
what is that,1,is,"0,1,0"
he sticks to me like,1,sticks,"0,1,0,0,0"
and scares away,1,scares,"0,1,0"
and surprise me with a shower,1,surprise,"0,1,0,0,0,0"
I'm a copy cat just like,1,m,"4,0,0,0,0,0"
build a castle out of,1,build,"1,0,0,0,0"
and pats it carefully with his,1,pats,"0,1,0,0,0,0"
did you read that,2,did,"2,0,3,0"
you gave it to him,2,gave,"0,2,0,0,0"
go get it,1,go,"1,3,0"
go get what,1,go,"1,3,0"
what am I,1,am,"0,1,0"
I help to move rocks,1,help,"0,1,0,3,0"
what is this,1,is,"0,1,0"
what am I,1,am,"0,1,0"
are you looking at the book,1,are looking,"1,0,5,0,0,0"
what is this,1,is,"0,1,0"
no,0,None,
no that's a tape recorder,1,s,"0,4,0,0,0"
yes tape recorder,0,None,
read bunny,1,read,"1,0"
can the bunny read,1,can,"1,0,0,3"
oh you're going to read to the bunny,3,re going to,"0,4,5,0,3,0,0,0"
that's a good idea,1,s,"4,0,0,0"
you can't write,1,can't,"0,7,3"
he can write but Adam can't write yet,1,can,"0,7,3,0,0,7,3,0"
mosquito,0,None,
I'll get you,3,ll,"6,3,0"
poor Perro he was under the pillow,2,was,"0,0,0,2,0,0,0"
who's that,1,s,"4,0,"
that's little Robin Red Breast,1,s,"4,0,0,0,0"
what's that,1,s,"4,0"
you leave his pencil in there Adam,1,leave,"0,1,0,0,0,0,0"
look Adam,1,look,"1,0"
here's one,1,s,"4,0"
do you know this one,1,do,"1,0,3,0,0"
now what are you writing,1,are,"0,0,1,0,5"
here,0,None,
where's your piece of paper,1,s,"4,0,0,0,0"
who's that,1,s,"4,0"
can you spell your name,1,can,"7,0,3,0,0"
mustn't write on the book,1,mustn't,"7,3,0,0,0"
alright,0,None,
now is it nice and clean again,1,is,"0,1,0,0,0,0,0"
pencil and paper alright,0,None,
does your writing look like his,1,does,"1,0,0,3,0,0"
you tell me,1,tell,"0,1,0"
what are those up there,1,are,"0,1,0,0,0"
don't jump,1,don't,"1,3"
he can't write,1,can't,"0,7,3"
when you jump,1,jump,"0,0,1"
put dirt up,1,put,"1,0,0"
are you a busy bulldozer,1,are,"1,0,0,0,0"
are you a busy bulldozer,1,are,"1,0,0,0,0"
lollipop,0,None,
why do you like to throw your book,1,do,"0,1,0,3,0,3,0,0"
what are you doing,1,are,"0,1,0,5"
oh you're like a bulldozer,1,re,"0,4,0,0,0"
no that's no funny,1,s,"0,4,0,0"
you had such a funny expression,2,had,"0,2,0,0,0,0"
must go where,1,must,"7,3,0"
no Mommy's going to be home,3,s going to,"0,4,5,0,3,0"
Adam will be home too,3,will,"0,9,3,0,0"
too,0,None,
Catherine too,0,None,
no,0,None,
who,0,None,
well Cliffy's at his house,1,s,"0,4,0,0,0"
Bozo,0,None,
I guess Cliffy looks at Bozo at her house,1,looks,"0,1,0,1,0,0,0,0,0"
Cliffy looks at Bozo at her house,1,looks,"0,1,0,0,0,0,0"
your screwdriver isn't straight anymore,1,isn't,"0,0,1,0,0"
how can you work,1,can,"0,7,0,3"
how can you work,1,can,"0,7,0,3"
put it box,1,put,"1,0,0"
you don't have anything else to put in the box do you,1,don't,"0,1,3,0,0,0,3,0,0,0,1,0"
what is that,1,isn't,"0,1,0"
this is your bulldozer,1,isn't,"0,1,0,0"
oh my Adam bulldozer alright,0,None,
careful,0,None,
don't hit his feet,1,don't ,"1,3,0,0"
you like hit ball,1,like,"0,1,0,0"
isn't that part of your trailer,1,isn't,"1,0,0,0,0,0"
you go get it,1,go,"0,1,3,0"
I'll go get it,3,ll,"6,3,3,0"
how did you get them in there,2,did,"0,2,0,3,0,0,0"
there's one,1,s,"4,0"
I guess ,1,guess,"0,1"
he's working,1,s,"4,5"
let's put the poor mailman's head back on,1,let's,"1,3,0,0,0,0,0,0"
how can he see to deliver mail,1,can,"0,7,0,3,0,3,0"
what are you doing,1,are,"0,1,0,5"
tomato,0,None,
where is a tomato,1,is,"0,1,0,0"
who is that,1,is,"0,1,0"
who,0,None,
Mary,0,None,
she's gone home,1,s,"4,8,0"
she went home in July,2,went,"0,2,0,0,0"
why don't you come over here and play with the ball,1,don't,"0,1,0,3,0,0,0,3,0,0,0"
you can get it,1,can,"0,7,3,0"
you go get it,1,go,"0,1,3,0"
Daddy's brief case,0,None,
did you get the ball,2,did,"2,0,3,0,0"
where is it,1,is,"0,1,0"
those are Daddy's books,1,are,"0,1,0,0"
Daddy's and Mommy's,0,None,
would you like to have your books on the bookshelf too,1,would,"7,0,3,0,3,0,0,0,0,0,0"
let's see,1,let's,"1,3"
if there are any pictures in this book,1,are,"0,0,1,0,0,0,0,0"
what is that,1,is,"0,1,0"
no that's a church,1,s,"0,4,0,0"
move your own road grader,0,None,
go move the road grader,1,go,"1,3,0,0,0"
you pick the road grader up,1,pick,"0,1,0,0,0,0"
the dog doesn't want any paper does he,1,doesn't,"0,0,1,3,0,0,1,0"
here doggie,0,None,
that's not a record,1,s,"4,0,0,0"
ask her ,1,ask,"1,0"
what that is,1,is,"0,0,1"
that's a tape recorder,1,s,"4,0,0,0"
don't touch,1,don't,"1,3"
what is it doing,1,is,"0,1,0,0"
record is playing,1,is,"0,1,5"
what does it do when it plays,1,does,"0,1,0,3,0,0,1"
do you hear a horn playing,1,do,"1,0,3,0,0,5"
I don't hear a horn,1,don't,"0,1,3,0,0"
is there a horn on there,1,is,"1,0,0,0,0,0"
did he like the water,2,did,"2,0,3,0,0"
what do you see in there,1,do,"0,1,0,3,0,0"
where does the ladder go,1,does,"0,1,0,0,0"
can you put it on,1,can,"7,0,3,0,0"
can you put them in there,1,can,"7,0,3,0,0,0"
I thought you couldn't do it,2,thought,"0,2,0,7,3,0"
you couldn't do it,2,couldn't,"0,7,0,0"
that's no ladder for that,1,s,"4,0,0,0,0"
shall I put this back there,1,shall,"7,0,3,0,0,0"
you didn't watch where you were going,2,didn't,"0,2,3,0,0,2,5"
where you were going,2,were,"0,0,2,5"
you read your paper,1,read,"0,1,0,0"
and I'll read mine,3,ll,"0,6,3,0"
mine paper,0,None,
this is my paper here,1,is,"0,1,0,0,0"
alright it's yours,1,s,"0,4,0"
are you going to say goodbye,3,are you going to,"1,0,5,0,3,0"
he's going out,1,s,"4,5,0"
would you like some soup,1,would,"7,0,3,0,0"
what kind of soup,0,None,
well you told her to sit there,2,told,"0,0,2,0,0,3,0"
that's the stool I use ,1,s,"4,0,0,0,1"
when I wash dishes,1,wash,"0,0,1,0"
minestrone,0,None,
what's that,1,s,"4,0"
Mommy's tea,0,None,
what are you doing Adam,1,are,"0,1,0,5,0"
what do you want a napkin for,1,do,"0,1,0,3,0,0,0"
is it sunny outside,1,is,"1,0,0,0"
did you see the sun,2,did,"2,0,3,0,0"
is that a lady,1,is,"1,0,0,0"
is it hot,1,is,"1,0,0"
you can't reach it,1,can't,"0,7,3,0"
put water in it,1,put,"1,0,0,0"
Adam drive record,0,None,
where's your truck going,1,s,"4,0,0,5"
no there's your paper,1,s,"0,4,0,0"
oh doggie write paper,1,write,"0,0,1,0"
that's a smart doggie,1,s,"4,0,0,0"
what did the doggie write,2,did,"0,2,0,0,3"
what is that,1,is,"0,1,0"
that's a hole,1,s,"4,0,0"
what did you see in the park this morning,2,did,"0,2,0,3,0,0,0,0,0"
oh climb,0,None,
what did he climb,2,did,"0,2,0,3"
was he a big kitty,2,was,"2,0,0,0,0"
or was he a little kitty,2,was,"0,2,0,0,0,0"
no big kitty,0,None,
do you wanna write on here,1,do,"1,0,3,3,0,0"
Daddy went to school,2,went,"0,2,0,0"
car broke,2,broke,"0,2"
those are her feet,1,are,"0,1,0,0"
how many feet does she have,1,does,"0,0,0,1,0,3"
how many feet do you have,1,does,"0,0,0,1,0,3"
how many feet does Mr Cromer have,1,does,"0,0,0,1,0,0,3"
what,0,None,
Catherine stay tonight,1,stay,"0,1,0"
no Mommy is going to stay tonight,3,is going to,"0,0,1,5,0,3,0"
yes Adam will stay tonight too,3,will,"0,0,9,3,0,0"
who,0,None,
Howe,0,None,
no Howe won't stay tonight,3,won't,"0,0,9,3,0"
no there's no fire back there,1,s,"0,4,0,0,0,0"
you drawing a kitty,0,None,"0,5,0,0"
Mommy,0,None,
Adam right there,0,None,
what does Daddy say,1,does,"0,1,0,3"
circle,0,None,
write circle,1,write,"1,0"
bumble bee,0,None,
where is he,1,is,"0,1,0"
why don't you write that,1,don't,"0,1,0,3,0"
thank you,1,thank,"1,0"
is that the bumble bee,1,is,"1,0,0,0,0"
do you wanna read a book,1,don't,"1,0,3,3,0,0"
who is this,1,is,"0,1,0"
Donald Duck go,0,None,
I don't know,1,don't,"0,1,3"
did you look in your basket,2,did,"2,0,3,0,0,0"
part,0,None,
oh his head,0,None,
oh that's been lost a long time,1,s,"0,4,8,8,0,0,0"
can you go with your bike,1,can,"7,0,3,0,0,0"
look a trailer,1,look,"1,0,0"
what are you going to pull,3,are you going to,"0,1,0,5,0,3"
pull Adam's bike,1,pull,"1,0,0"
no don't take his head off,1,don't,"0,1,3,0,0,0"
leave him on there,1,leave,"1,0,0,0"
so he can drive it,1,can,"0,0,7,3,0"
yes his head is off,1,is,"0,0,0,1,0"
do you have a comb,1,don't,"1,0,3,0,0"
goat,0,None,
is that a piggie,1,is,"1,0,0,0"
I can't see,1,can't,"0,7,3"
no I can't see,1,can't,"0,0,7,3"
Bozo,0,None,
what,0,None,
where's a ladder,1,s,"4,0,0"
circus,0,None,
circus what,0,None,
acrobat,0,None,
that's the tattooed man,1,s,"4,0,0,0"
tattooed man,0,None,
tattooed man,0,None,
may I sit beside you,1,may,"7,0,3,0,0"
Judy and Buzz,0,None,
that's a couple we know,1,s,"4,0,0,0,1"
apple mouth,0,None,
you had an apple when you got up from your nap,2,had,"0,2,0,0,0,0,2,0,0,0,0"
when you got up from your nap,2,got,"0,0,2,0,0,0,0"
what's that,1,s,"4,0"
Adam wanna close the box,1,wanna,"0,1,3,0,0"
do you want paper,1,do,"1,0,3,0"
whose brief case is that,1,is,"0,0,0,1,0"
is that part of the game,1,is,"1,0,0,0,0,0"
what is that,1,is,"0,1,0"
oh pin game,0,None,
John who,0,None,
let's see,1,let's,"1,3"
John Buzzhart,0,None,
Adam you don't tell him what to write,1,don't,"0,0,1,3,0,0,0,3"
what's your Daddy's name,1,s,"4,0,0,0"
Daddy's all_gone,1,s,"0,0,8"
what's his name,1,s,"4,0,0"
John Buzzhart,0,None,
sock,0,None,
don't sit on that,1,don't,"1,3,0,0"
here's your shoe,1,s,"4,0,0"
no Mommy what,0,None,
no John Buzzhart,0,None,
what kind of game,0,None,
Babar,0,None,
which one,0,None,
oh shave a pig,1,shave,"0,1,0,0"
that one,0,None,
Bozo,0,None,
you haven't seen Bozo in a long time have you,1,haven't,"0,1,8,0,0,0,0,0,1,0"
are you sitting with me,1,are,"1,0,5,0,0"
oh you found bunny,2,found,"0,0,2,0"
that's David's Bunny Rabbit,1,s,"4,0,0,0"
yes I remember David,1,remember,"0,0,1,0"
do you remember David,1,remember,"1,0,3,0"
no not her shoe,0,None,
write on the paper,1,write,"1,0,0,0"
what,0,None,
write on his shoe,1,write,"1,0,0,0"
no you can't write on Mr Cromer's show,1,can't,"0,0,7,3,0,0,0,0"
no,0,None,
what is that,1,is,"0,1,0"
whenever there's a hill to climb,1,s,"0,4,0,0,0,3"
he sticks to me like,1,sticks,"0,1,0,0,0"
and scares away,1,scares,"0,1,0"
down the,0,None,
with a shower,0,None,
yes that does look like rain falling,1,does,"0,0,1,3,0,0,5"
now I'm a copy cat just like,1,m,"0,4,0,0,0,0,0"
just like you,0,None,
yes,0,None,
build a castle out of,1,build,"1,0,0,0,0"
with his,0,None,
like bubble gum and cowboy,0,None,
rings,0,None,
like Adam's horsie,0,None,
yes there's a horse there,1,s,"0,4,0,0,0"
on his shirt yeah,0,None,
if I bring out my,1,bring,"0,0,1,0,0"
what's that,1,s,"4,0"
while I catch a,1,catch,"0,0,1,0"
what happened,2,happened,"0,2"
he can't copy me,1,can't,"0,7,3,0"
to a sycamore,0,None,
and say,1,say,"0,1"
I don't care,1,don't ,"0,1,3"
oh you're going to give the kitty a ride in your wagon,3,re going to ,"0,4,5,0,3,0,0,0,0,0,0,0"
do you have a bite,1,do,"1,0,3,0,0"
can you tell Mr Cromer about Humpty Dumpty,1,can,"7,0,3,0,0,0,0,0"
oh he wants to shake hands,1,wants,"0,0,1,0,3,0"
kitty's fine,0,None,
what's Daddy's name,1,s,"4,0,0"
is that a light,1,is,"1,0,0,0"
is that Adam's shoe,1,is,"1,0,0,0"
camper,0,None,
can you play it,1,can,"7,0,3,0"
you like to walk,1,like,"0,1,0,3"
Mommy can't march,1,can't,"0,7,3"
no Mommy can't march,1,can't,"0,0,7,3"
Catherine,0,None,
maybe Catherine can march,1,can,"0,0,7,3"
no you march,1,march,"0,0,1"
Catherine,0,None,
where is Catherine,1,is,"0,1,0"
what is that,1,is,"0,1,0"
no you write on paper with pencil,1,write,"0,0,1,0,0,0,0"
that's his name,1,s,"4,0,0"
whose suitcase is that,1,is,"0,0,1,0"
what does it say,1,does,"0,1,0,3"
spaghetti,0,None,
what is that,1,is,"0,1,0"
put the ball where,1,put,"1,0,0,0"
tape recorder,0,None,
no you can't put the ball on the tape recorder,1,can't,"0,0,7,3,0,0,0,0,0,0"
over there,0,None,
what,0,None,
what did the ball hit,2,did,"0,2,0,0,3"
oh hit Mommy's rug,1,hit,"0,1,0,0"
where did it go,2,did,"0,2,0,3"
in there,0,None,
is it under the chair,1,is,"1,0,0,0,0"
I'm afraid you might get stuck,1,m,"4,0,0,7,3,0"
see you later again,1,see,"1,0,0,0"
alright,0,None,
Adam whose ball is that,1,is,"0,0,0,1,0"
no you can't sit on my book,1,can't,"0,0,7,3,0,0,0"
what kind is that,1,is,"0,0,1,0"
what is that,1,is,"0,1,0"
this is a diesel locomotive,1,is,"0,1,0,0,0"
can you say that,1,can't,"7,0,3,0"
baggage car,0,None,
streamlined coach,0,None,
sleeping car,0,None,
dining car,0,None,
modern steam locomotive,0,None,
electric locomotive,0,None,
switcher,0,None,
rotary snow plow,0,None,
flat car,0,None,
mail car,0,None,
tank car,0,None,
box car,0,None,
caboose,0,None,
do you know what kind this is,1,do,"1,0,3,0,0,0,1"
yes there's a man,1,s,"0,4,0,0"
that's a streamlined coach,1,s,"4,0,0,0"
what kind is that,1,is,"0,0,1,0"
put the baby where,1,put,"1,0,0,0"
where is the baby,1,is,"0,1,0,0"
where is she,1,is,"0,1,0"
or is she outside,1,is,"0,1,0,0"
is she sitting up ,1,is,"1,0,5,0"
or is she in the bed ,1,is,"0,1,0,0,0,0"
where is she,1,is,"0,1,0"
bed yes,0,None,
this is the sleeping car,1,is,"0,1,0,0,0"
this is the dining car ,1,is,"0,1,0,0,0"
where you sat,2,sat,"0,0,2"
this is a box car,1,is,"0,1,0,0,0"
know,1,know,1
what kind that is,1,is,"0,0,0,1"
yes those are men ,1,are,"0,0,1,0"
what are they doing,1,are,"0,1,0,5"
do you know ,1,do,"1,0,3"
men,0,None,
what that is,1,is,"0,0,1"
you don't know,1,don't,"0,1,3"
that's the mail car,1,s,"4,0,0,0"
stop car,0,None,
what is that,1,is,"0,1,0"
there's a truck,1,s,"4,0,0"
that looks like that,1,looks,"0,1,0,0"
tank car,0,None,
and the last car on a train is called the what,1,is,"0,0,0,0,0,0,0,1,8,0,0"
it's called the caboose,1,s,"4,8,0,0"
caboose,0,None,
what is that,1,is,"0,1,0"
it looks like a derrick ,1,looks,"0,1,0,0,0"
but it's a crane,1,s,"0,4,0,0"
it's one of the tools ,1,s,"4,0,0,0,0"
that they work with,1,work,"0,0,1,0"
that's an old time train,1,s,"4,0,0,0,0"
yes that does look like a broom doesn't it,1,does,"0,0,1,3,0,0,0,1,0"
where are you going,1,are,"0,1,0,5"
whose is this,1,is,"0,1,0"
what are you doing,1,are,"0,1,0,5"
fix bike,1,fix,"1,0"
take what,1,take,"1,0"
do what,1,does,"1,0"
paper,0,None,
isn't that pretty,1,isn't,"1,0,0"
d a m,0,None,
he always leaves the a off ,1,leaves,"0,0,1,0,0,0"
when he's spelling,1,s,"0,4,5"
did you write it already,2,did,"2,0,3,0,0"
careful don't hit Ursula's feet with the tow truck,1,don't,"0,1,3,0,0,0,0,0,0"
what happened,2,happened,"0,2"
you hit your knee,2,hit,"0,2,0,0"
the tow truck hit your knee,2,hit,"0,0,0,2,0,0"
locomotive,0,None,
that's a flat car,1,s,"4,0,0,0"
yes that is Donald Duck,1,is,"0,0,1,0,0"
Pinnochio,0,None,
no,0,None,
that's not Pinnochio,1,s,"4,0,0"
those are chipmunks and Mickey Mouse,1,are,"0,1,0,0,0,0"
put your pajamas on,1,put,"1,0,0,0"
put pajamas on,1,put,"1,0,0"
and we can ride the car,1,can,"0,0,7,3,0,0"
he had his bath before supper and he put his pajamas on and he this last night,2,had,"0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0"
and he put his pajamas on and he this last night,2,put,"0,0,2,0,0,0,0,0,0,0,0"
Daddy's racket,0,None,
you can't play with Daddy's,1,can't,"0,7,3,0,0"
yes this Daddy's,0,None,
where did your racket go,2,did,"0,2,0,0,3"
yes Daddy's racket,0,None,
whose brief case is this,1,is,"0,0,0,1,0"
get off her briefcase honey,1,get,"1,0,0,0,0"
yes u p up,0,None,
get up,1,get,"1,0"
up,0,None,
up,0,None,
come on,1,come,"1,0"
no you can't sit on his either,1,can't,"0,0,7,3,0,0,0"
you had it all squashed down,2,had,"0,2,0,0,8,0"
where's your foot,1,s,"4,0,0"
where's the other one,1,s,"4,0,0,0"
oh did you find it,2,did,"0,2,0,3,0"
how many do you have now,1,do,"0,0,1,0,3,0"
two feet,0,None,
how many does Mr Cromer have,1,does,"0,0,1,0,0,3"
oh that's the knee,1,s,"0,4,0,0"
do you have elbow,1,have,"1,0,3,0"
what's an elbow,1,s,"4,0,0"
oh it's right on your arm,1,s,"0,4,0,0,0,0"
it's all squashed,1,s,"4,0,8"
all squashed,0,None,
you're stepping on her feet,1,re,"4,5,0,0,0"
where are you sitting,1,are,"0,1,0,5"
where,0,None,
Joshua's chair or did you say Joshua's shirt,2,did,"0,0,0,2,0,3,0,0"
foot,0,None,
you're picking the dirt up with your bulldozer,1,re,"4,5,0,0,0,0,0,0"
the big tow truck's picking Joshua's dirt up,1,s,"0,0,0,4,5,0,0,0"
write that,0,None,
the tractor can't write,1,can't,"0,0,7,3"
the racket can't write either,1,can't,"0,0,7,3,0"
Adam is sitting down,1,is,"0,1,5,0"
pick the dirt up,1,pick,"1,0,0,0"
pick the roadgrader up,1,pick,"1,0,0,0"
no you don't have a nail in there,1,don't,"0,0,1,3,0,0,0,0"
you just can't pick it up that way,1,can't,"0,0,7,3,0,0,0,0"
he's just sharp,1,s,"4,0,0"
Robie's nail,0,None,
pick the glove up,1,pick,"1,0,0,0"
pick the paper up,1,pick,"1,0,0,0"
rug,0,None,
oh you can see the rug now,1,can,"0,0,7,3,0,0,0"
what color is the rug,1,is,"0,0,1,0,0"
what,0,None,
what color,0,None,
what color is in the rug,1,is,"0,0,1,0,0,0"
is it the same over there,1,is,"1,0,0,0,0,0"
green,0,None,
green,0,None,
is it the same color everywhere,1,is,"1,0,0,0,0,0"
what other color is in it,1,is,"0,0,0,1,0,0"
green and what,0,None,
well what did you hit,2,did,"0,0,2,0,3"
you hit your shoulder,2,hit,"0,2,0,0,"
on the table,0,None,
mosquito,0,None,
you don't have a mosquito bite back there,1,don't,"0,1,3,0,0,0,0,0"
don't hit your head on the bicycle,1,don't,"1,3,0,0,0,0,0"
yes that is a man,1,is,"0,0,1,0,0"
do you know the man's name,1,don't,"1,0,3,0,0,0"
yes what's the man's name driving the busy bulldozer,1,s,"0,4,0,0,0,5,0,0,0"
yes he's pushing the dirt up,1,s,"0,4,5,0,0,0"
what's the man's name,1,s,"4,0,0,0"
this is the man ,1,is,"0,1,0,0"
man who drives the busy bulldozer,1,drives,"0,0,1,0,0,0"
what is his name,1,is,"0,1,0,0"
what's his name,1,is,"4,0,0"
where did what go,2,did,"0,2,0,3"
you tell me ,1,tell,"0,1,0"
what's happening,1,s,"4,5"
until he met how many men,2,met,"0,0,2,0,0,0"
three men,0,None,
that's one of the men,1,s,"4,0,0,0,0"
come on pal,1,come,"1,0,0"
let's go,1,let's,"1,0"
no don't push Mommy's book,1,don't,"0,1,3,0,0"
no it isn't yours,1,isn't,"0,0,1,0"
your books are over in your basket,1,are,"0,0,1,0,0,0,0"
is that Doctor Dan,1,isn't,"1,0,0,0"
is it,1,isn't,"1,0"
I didn't think it was,2,didn't,"0,2,3,0,2"
why do you call that spaghetti,1,do,"0,1,0,3,0,0"
or is that what ,1,is,"0,1,0,0"
you're saying,1,re,"4,5"
Daddy,0,None,
what about Daddy,0,None,
no that's Mr Cromer's suitcase,1,s,"0,4,0,0,0"
whose suitcase is that,1,is,"0,0,1,0"
no whose suitcase is that,1,is,"0,0,0,1,0"
whose is this,1,is,"0,1,0"
to whom does that belong,1,does,"0,0,1,0,3"
no that's not Adam's,1,s,"0,4,0,0"
yes that's Daddy's suitcase,1,s,"0,4,0,0"
careful don't be so rough,1,don't,"0,1,3,0,0"
it's not a pocketbook,1,s,"4,0,0,0"
no don't sit on that,1,don't,"0,1,3,0,0"
what kind of car do you have,1,do,"0,0,0,0,1,0,3"
put Miss Munroe's tow truck,1,put,"1,0,0,0,0"
is that your doggie,1,is,"1,0,0,0"
what's your doggie's name,1,s,"4,0,0,0"
Texaco star,0,None,
that's not a star,1,s,"4,0,0,0"
what about Cliffy,0,None,
bye lion,0,None,
two boots,0,None,
