,Sentence,Tense,Verb,NER Tag
118,don't pull Mommy,1,don't,"1,0,0"
119,put pillow on the floor,1,put,"1,0,0,0,0"
120,you want Mommy to sit on the floor,1,want,"0,1,0,0,3,0,0,0"
121,you sit floor,1,sit,"0,1,0"
122,what do you want Mommy to do,1,do,"0,1,0,3,0,0,3"
123,do you want Mommy to stand up,1,do,"1,0,3,0,0,3,0"
124,Mommy stand up,1,stand,"0,1,0"
125,alright,0,None,0
126,Adam what,0,None,"0,0"
127,what about the chair,0,None,"0,0,0,0"
128,nice pony,0,None,"0,0"
129,what's your pony's name,1,s,"4,0,0,0"
130,may please,1,may,"7,0"
131,what do you want that for,1,do,"0,1,0,3,0,0"
132,fix kitty,1,fix,"1,0"
133,make mosquito,1,make,"1,0"
134,fine book,0,None,"0,0"
135,that's Daddy's filing case,1,s,"4,0,0,0"
136,don't take those out,1,do,"1,3,0,0"
137,leave them in there,1,leave,"1,0,0,0"
138,why not,0,None,"0,0"
139,because they're Daddy's,1,re,"0,4,0"
140,what is in there,1,is,"0,1,0,0"
141,oh,0,None,0
142,get Adam's bike,1,get,"1,0,0"
143,what pillow,0,None,"0,0"
144,that's a good one to jump on,1,s,"4,0,0,0,0,3,0"
145,which book,0,None,"0,0"
146,that's not really a boy's book,1,s,"4,0,0,0,0,0"
147,see,1,see,1
148,there are no pictures,1,are,"0,1,0,0"
149,what is that,1,is,"0,1,0"
150,he sticks to me like,1,sticks,"0,1,0,0,0"
151,and scares away,1,scares,"0,1,0"
152,and surprise me with a shower,1,surprise,"0,1,0,0,0,0"
153,I'm a copy cat just like,1,m,"4,0,0,0,0,0"
154,build a castle out of,1,build,"1,0,0,0,0"
155,and pats it carefully with his,1,pats,"0,1,0,0,0,0"
156,did you read that,2,did,"2,0,3,0"
157,you gave it to him,2,gave,"0,2,0,0,0"
158,go get it,1,go,"1,3,0"
159,go get what,1,go,"1,3,0"
160,what am I,1,am,"0,1,0"
161,I help to move rocks,1,help,"0,1,0,3,0"
162,what is this,1,is,"0,1,0"
163,what am I,1,am,"0,1,0"
164,are you looking at the book,1,are looking,"1,0,5,0,0,0"
165,what is this,1,is,"0,1,0"
166,no,0,None,0
167,no that's a tape recorder,1,s,"0,4,0,0,0"
168,yes tape recorder,0,None,"0,0,0"
169,read bunny,1,read,"1,0"
170,can the bunny read,1,can,"1,0,0,3"
171,oh you're going to read to the bunny,3,re going to,"0,4,5,0,3,0,0,0"
172,that's a good idea,1,s,"4,0,0,0"
173,you can't write,1,can't,"0,7,3"
174,he can write but Adam can't write yet,1,can,"0,7,3,0,0,7,3,0"
175,mosquito,0,None,0
176,I'll get you,3,ll,"6,3,0"
177,poor Perro he was under the pillow,2,was,"0,0,0,2,0,0,0"
178,who's that,1,s,"4,0"
179,that's little Robin Red Breast,1,s,"4,0,0,0,0"
180,what's that,1,s,"4,0"
181,you leave his pencil in there Adam,1,leave,"0,1,0,0,0,0,0"
182,look Adam,1,look,"1,0"
183,here's one,1,s,"4,0"
184,do you know this one,1,do,"1,0,3,0,0"
185,now what are you writing,1,are,"0,0,1,0,5"
186,here,0,None,0
187,where's your piece of paper,1,s,"4,0,0,0,0"
188,who's that,1,s,"4,0"
189,can you spell your name,1,can,"7,0,3,0,0"
190,mustn't write on the book,1,mustn't,"7,3,0,0,0"
191,alright,0,None,0
192,now is it nice and clean again,1,is,"0,1,0,0,0,0,0"
193,pencil and paper alright,0,None,"0,0,0,0"
194,does your writing look like his,1,does,"1,0,0,3,0,0"
195,you tell me,1,tell,"0,1,0"
196,what are those up there,1,are,"0,1,0,0,0"
197,don't jump,1,don't,"1,3"
198,he can't write,1,can't,"0,7,3"
199,when you jump,1,jump,"0,0,1"
200,put dirt up,1,put,"1,0,0"
201,are you a busy bulldozer,1,are,"1,0,0,0,0"
202,are you a busy bulldozer,1,are,"1,0,0,0,0"
203,lollipop,0,None,0
204,why do you like to throw your book,1,do,"0,1,0,3,0,3,0,0"
205,what are you doing,1,are,"0,1,0,5"
206,oh you're like a bulldozer,1,re,"0,4,0,0,0"
207,no that's no funny,1,s,"0,4,0,0"
208,you had such a funny expression,2,had,"0,2,0,0,0,0"
209,must go where,1,must,"7,3,0"
210,no Mommy's going to be home,3,s going to,"0,4,5,0,3,0"
211,Adam will be home too,3,will,"0,9,3,0,0"
212,too,0,None,0
213,Catherine too,0,None,"0,0"
214,no,0,None,0
215,who,0,None,0
216,well Cliffy's at his house,1,s,"0,4,0,0,0"
217,Bozo,0,None,0
218,I guess Cliffy looks at Bozo at her house,1,looks,"0,1,0,1,0,0,0,0,0"
219,Cliffy looks at Bozo at her house,1,looks,"0,1,0,0,0,0,0"
220,your screwdriver isn't straight anymore,1,isn't,"0,0,1,0,0"
221,how can you work,1,can,"0,7,0,3"
222,how can you work,1,can,"0,7,0,3"
223,put it box,1,put,"1,0,0"
224,you don't have anything else to put in the box do you,1,don't,"0,1,3,0,0,0,3,0,0,0,1,0"
225,what is that,1,isn't,"0,1,0"
226,this is your bulldozer,1,isn't,"0,1,0,0"
227,oh my Adam bulldozer alright,0,None,"0,0,0,0,0"
228,careful,0,None,0
229,don't hit his feet,1,don't,"1,3,0,0"
230,you like hit ball,1,like,"0,1,0,0"
231,isn't that part of your trailer,1,isn't,"1,0,0,0,0,0"
232,you go get it,1,go,"0,1,3,0"
233,I'll go get it,3,ll,"6,3,3,0"
234,how did you get them in there,2,did,"0,2,0,3,0,0,0"
235,there's one,1,s,"4,0"
236,I guess,1,guess,"0,1"
237,he's working,1,s,"4,5"
238,let's put the poor mailman's head back on,1,let's,"1,3,0,0,0,0,0,0"
239,how can he see to deliver mail,1,can,"0,7,0,3,0,3,0"
240,what are you doing,1,are,"0,1,0,5"
241,tomato,0,None,0
242,where is a tomato,1,is,"0,1,0,0"
243,who is that,1,is,"0,1,0"
244,who,0,None,0
245,Mary,0,None,0
246,she's gone home,1,s,"4,8,0"
247,she went home in July,2,went,"0,2,0,0,0"
248,why don't you come over here and play with the ball,1,don't,"0,1,0,3,0,0,0,3,0,0,0"
249,you can get it,1,can,"0,7,3,0"
250,you go get it,1,go,"0,1,3,0"
251,Daddy's brief case,0,None,"0,0,0"
252,did you get the ball,2,did,"2,0,3,0,0"
253,where is it,1,is,"0,1,0"
254,those are Daddy's books,1,are,"0,1,0,0"
255,Daddy's and Mommy's,0,None,"0,0,0"
256,would you like to have your books on the bookshelf too,1,would,"7,0,3,0,3,0,0,0,0,0,0"
257,let's see,1,let's,"1,3"
258,if there are any pictures in this book,1,are,"0,0,1,0,0,0,0,0"
259,what is that,1,is,"0,1,0"
260,no that's a church,1,s,"0,4,0,0"
261,move your own road grader,0,None,"0,0,0,0,0"
262,go move the road grader,1,go,"1,3,0,0,0"
263,you pick the road grader up,1,pick,"0,1,0,0,0,0"
264,the dog doesn't want any paper does he,1,doesn't,"0,0,1,3,0,0,1,0"
265,here doggie,0,None,"0,0"
266,that's not a record,1,s,"4,0,0,0"
267,ask her,1,ask,"1,0"
268,what that is,1,is,"0,0,1"
269,that's a tape recorder,1,s,"4,0,0,0"
270,don't touch,1,don't,"1,3"
271,what is it doing,1,is,"0,1,0,0"
272,record is playing,1,is,"0,1,5"
273,what does it do when it plays,1,does,"0,1,0,3,0,0,1"
274,do you hear a horn playing,1,do,"1,0,3,0,0,5"
275,I don't hear a horn,1,don't,"0,1,3,0,0"
276,is there a horn on there,1,is,"1,0,0,0,0,0"
277,did he like the water,2,did,"2,0,3,0,0"
278,what do you see in there,1,do,"0,1,0,3,0,0"
279,where does the ladder go,1,does,"0,1,0,0,0"
280,can you put it on,1,can,"7,0,3,0,0"
281,can you put them in there,1,can,"7,0,3,0,0,0"
282,I thought you couldn't do it,2,thought,"0,2,0,7,3,0"
283,you couldn't do it,2,couldn't,"0,7,0,0"
284,that's no ladder for that,1,s,"4,0,0,0,0"
285,shall I put this back there,1,shall,"7,0,3,0,0,0"
286,you didn't watch where you were going,2,didn't,"0,2,3,0,0,2,5"
287,where you were going,2,were,"0,0,2,5"
288,you read your paper,1,read,"0,1,0,0"
289,and I'll read mine,3,ll,"0,6,3,0"
290,mine paper,0,None,"0,0"
291,this is my paper here,1,is,"0,1,0,0,0"
292,alright it's yours,1,s,"0,4,0"
293,are you going to say goodbye,3,are you going to,"1,0,5,0,3,0"
294,he's going out,1,s,"4,5,0"
295,would you like some soup,1,would,"7,0,3,0,0"
296,what kind of soup,0,None,"0,0,0,0"
297,well you told her to sit there,2,told,"0,0,2,0,0,3,0"
298,that's the stool I use,1,s,"4,0,0,0,1"
299,when I wash dishes,1,wash,"0,0,1,0"
300,minestrone,0,None,0
301,what's that,1,s,"4,0"
302,Mommy's tea,0,None,"0,0"
303,what are you doing Adam,1,are,"0,1,0,5,0"
304,what do you want a napkin for,1,do,"0,1,0,3,0,0,0"
305,is it sunny outside,1,is,"1,0,0,0"
306,did you see the sun,2,did,"2,0,3,0,0"
307,is that a lady,1,is,"1,0,0,0"
308,is it hot,1,is,"1,0,0"
309,you can't reach it,1,can't,"0,7,3,0"
310,put water in it,1,put,"1,0,0,0"
311,Adam drive record,0,None,"0,0,0"
312,where's your truck going,1,s,"4,0,0,5"
313,no there's your paper,1,s,"0,4,0,0"
314,oh doggie write paper,1,write,"0,0,1,0"
315,that's a smart doggie,1,s,"4,0,0,0"
316,what did the doggie write,2,did,"0,2,0,0,3"
317,what is that,1,is,"0,1,0"
318,that's a hole,1,s,"4,0,0"
319,what did you see in the park this morning,2,did,"0,2,0,3,0,0,0,0,0"
320,oh climb,0,None,"0,0"
321,what did he climb,2,did,"0,2,0,3"
322,was he a big kitty,2,was,"2,0,0,0,0"
323,or was he a little kitty,2,was,"0,2,0,0,0,0"
324,no big kitty,0,None,"0,0,0"
325,do you wanna write on here,1,do,"1,0,3,3,0,0"
326,Daddy went to school,2,went,"0,2,0,0"
327,car broke,2,broke,"0,2"
328,those are her feet,1,are,"0,1,0,0"
329,how many feet does she have,1,does,"0,0,0,1,0,3"
330,how many feet do you have,1,does,"0,0,0,1,0,3"
331,how many feet does Mr Cromer have,1,does,"0,0,0,1,0,0,3"
332,what,0,None,0
333,Catherine stay tonight,1,stay,"0,1,0"
334,no Mommy is going to stay tonight,3,is going to,"0,0,1,5,0,3,0"
335,yes Adam will stay tonight too,3,will,"0,0,9,3,0,0"
336,who,0,None,0
337,Howe,0,None,0
338,no Howe won't stay tonight,3,won't,"0,0,9,3,0"
339,no there's no fire back there,1,s,"0,4,0,0,0,0"
340,you drawing a kitty,0,None,"0,5,0,0"
341,Mommy,0,None,0
342,Adam right there,0,None,"0,0,0"
343,what does Daddy say,1,does,"0,1,0,3"
344,circle,0,None,0
345,write circle,1,write,"1,0"
346,bumble bee,0,None,"0,0"
347,where is he,1,is,"0,1,0"
348,why don't you write that,1,don't,"0,1,0,3,0"
349,thank you,1,thank,"1,0"
350,is that the bumble bee,1,is,"1,0,0,0,0"
351,do you wanna read a book,1,don't,"1,0,3,3,0,0"
352,who is this,1,is,"0,1,0"
353,Donald Duck go,0,None,"0,0,0"
354,I don't know,1,don't,"0,1,3"
355,did you look in your basket,2,did,"2,0,3,0,0,0"
356,part,0,None,0
357,oh his head,0,None,"0,0,0"
358,oh that's been lost a long time,1,s,"0,4,8,8,0,0,0"
359,can you go with your bike,1,can,"7,0,3,0,0,0"
360,look a trailer,1,look,"1,0,0"
361,what are you going to pull,3,are you going to,"0,1,0,5,0,3"
362,pull Adam's bike,1,pull,"1,0,0"
363,no don't take his head off,1,don't,"0,1,3,0,0,0"
364,leave him on there,1,leave,"1,0,0,0"
365,so he can drive it,1,can,"0,0,7,3,0"
366,yes his head is off,1,is,"0,0,0,1,0"
367,do you have a comb,1,don't,"1,0,3,0,0"
368,goat,0,None,0
369,is that a piggie,1,is,"1,0,0,0"
370,I can't see,1,can't,"0,7,3"
371,no I can't see,1,can't,"0,0,7,3"
372,Bozo,0,None,0
373,what,0,None,0
374,where's a ladder,1,s,"4,0,0"
375,circus,0,None,0
376,circus what,0,None,"0,0"
377,acrobat,0,None,0
378,that's the tattooed man,1,s,"4,0,0,0"
379,tattooed man,0,None,"0,0"
380,tattooed man,0,None,"0,0"
381,may I sit beside you,1,may,"7,0,3,0,0"
382,Judy and Buzz,0,None,"0,0,0"
383,that's a couple we know,1,s,"4,0,0,0,1"
384,apple mouth,0,None,"0,0"
385,you had an apple when you got up from your nap,2,had,"0,2,0,0,0,0,2,0,0,0,0"
386,when you got up from your nap,2,got,"0,0,2,0,0,0,0"
387,what's that,1,s,"4,0"
388,Adam wanna close the box,1,wanna,"0,1,3,0,0"
389,do you want paper,1,do,"1,0,3,0"
390,whose brief case is that,1,is,"0,0,0,1,0"
391,is that part of the game,1,is,"1,0,0,0,0,0"
392,what is that,1,is,"0,1,0"
393,oh pin game,0,None,"0,0,0"
394,John who,0,None,"0,0"
395,let's see,1,let's,"1,3"
396,John Buzzhart,0,None,"0,0"
397,Adam you don't tell him what to write,1,don't,"0,0,1,3,0,0,0,3"
398,what's your Daddy's name,1,s,"4,0,0,0"
399,Daddy's all gone,1,s,"0,0,8"
400,what's his name,1,s,"4,0,0"
401,John Buzzhart,0,None,"0,0"
402,sock,0,None,0
403,don't sit on that,1,don't,"1,3,0,0"
404,here's your shoe,1,s,"4,0,0"
405,no Mommy what,0,None,"0,0,0"
406,no John Buzzhart,0,None,"0,0,0"
407,what kind of game,0,None,"0,0,0,0"
408,Babar,0,None,0
409,which one,0,None,"0,0"
410,oh shave a pig,1,shave,"0,1,0,0"
411,that one,0,None,"0,0"
412,Bozo,0,None,0
413,you haven't seen Bozo in a long time have you,1,haven't,"0,1,8,0,0,0,0,0,1,0"
414,are you sitting with me,1,are,"1,0,5,0,0"
415,oh you found bunny,2,found,"0,0,2,0"
416,that's David's Bunny Rabbit,1,s,"4,0,0,0"
417,yes I remember David,1,remember,"0,0,1,0"
418,do you remember David,1,remember,"1,0,3,0"
419,no not her shoe,0,None,"0,0,0,0"
420,write on the paper,1,write,"1,0,0,0"
421,what,0,None,0
422,write on his shoe,1,write,"1,0,0,0"
423,no you can't write on Mr Cromer's show,1,can't,"0,0,7,3,0,0,0,0"
424,no,0,None,0
425,what is that,1,is,"0,1,0"
426,whenever there's a hill to climb,1,s,"0,4,0,0,0,3"
427,he sticks to me like,1,sticks,"0,1,0,0,0"
428,and scares away,1,scares,"0,1,0"
429,down the,0,None,"0,0"
430,with a shower,0,None,"0,0,0"
431,yes that does look like rain falling,1,does,"0,0,1,3,0,0,5"
432,now I'm a copy cat just like,1,m,"0,4,0,0,0,0,0"
433,just like you,0,None,"0,0,0"
434,yes,0,None,0
435,build a castle out of,1,build,"1,0,0,0,0"
436,with his,0,None,"0,0"
437,like bubble gum and cowboy,0,None,"0,0,0,0,0"
438,rings,0,None,0
439,like Adam's horsie,0,None,"0,0,0"
440,yes there's a horse there,1,s,"0,4,0,0,0"
441,on his shirt yeah,0,None,"0,0,0,0"
442,if I bring out my,1,bring,"0,0,1,0,0"
443,what's that,1,s,"4,0"
444,while I catch a,1,catch,"0,0,1,0"
445,what happened,2,happened,"0,2"
446,he can't copy me,1,can't,"0,7,3,0"
447,to a sycamore,0,None,"0,0,0"
448,and say,1,say,"0,1"
449,I don't care,1,don't,"0,1,3"
450,oh you're going to give the kitty a ride in your wagon,3,re going to,"0,4,5,0,3,0,0,0,0,0,0,0"
451,do you have a bite,1,do,"1,0,3,0,0"
452,can you tell Mr Cromer about Humpty Dumpty,1,can,"7,0,3,0,0,0,0,0"
453,oh he wants to shake hands,1,wants,"0,0,1,0,3,0"
454,kitty's fine,0,None,"0,0"
455,what's Daddy's name,1,s,"4,0,0"
456,is that a light,1,is,"1,0,0,0"
457,is that Adam's shoe,1,is,"1,0,0,0"
458,camper,0,None,0
459,can you play it,1,can,"7,0,3,0"
460,you like to walk,1,like,"0,1,0,3"
461,Mommy can't march,1,can't,"0,7,3"
462,no Mommy can't march,1,can't,"0,0,7,3"
463,Catherine,0,None,0
464,maybe Catherine can march,1,can,"0,0,7,3"
465,no you march,1,march,"0,0,1"
466,Catherine,0,None,0
467,where is Catherine,1,is,"0,1,0"
468,what is that,1,is,"0,1,0"
469,no you write on paper with pencil,1,write,"0,0,1,0,0,0,0"
470,that's his name,1,s,"4,0,0"
471,whose suitcase is that,1,is,"0,0,1,0"
472,what does it say,1,does,"0,1,0,3"
473,spaghetti,0,None,0
474,what is that,1,is,"0,1,0"
475,put the ball where,1,put,"1,0,0,0"
476,tape recorder,0,None,"0,0"
477,no you can't put the ball on the tape recorder,1,can't,"0,0,7,3,0,0,0,0,0,0"
478,over there,0,None,"0,0"
479,what,0,None,0
480,what did the ball hit,2,did,"0,2,0,0,3"
481,oh hit Mommy's rug,1,hit,"0,1,0,0"
482,where did it go,2,did,"0,2,0,3"
483,in there,0,None,"0,0"
484,is it under the chair,1,is,"1,0,0,0,0"
485,I'm afraid you might get stuck,1,m,"4,0,0,7,3,0"
486,see you later again,1,see,"1,0,0,0"
487,alright,0,None,0
488,Adam whose ball is that,1,is,"0,0,0,1,0"
489,no you can't sit on my book,1,can't,"0,0,7,3,0,0,0"
490,what kind is that,1,is,"0,0,1,0"
491,what is that,1,is,"0,1,0"
492,this is a diesel locomotive,1,is,"0,1,0,0,0"
493,can you say that,1,can't,"7,0,3,0"
494,baggage car,0,None,"0,0"
495,streamlined coach,0,None,"0,0"
496,sleeping car,0,None,"0,0"
497,dining car,0,None,"0,0"
498,modern steam locomotive,0,None,"0,0,0"
499,electric locomotive,0,None,"0,0"
500,switcher,0,None,0
501,rotary snow plow,0,None,"0,0,0"
502,flat car,0,None,"0,0"
503,mail car,0,None,"0,0"
504,tank car,0,None,"0,0"
505,box car,0,None,"0,0"
506,caboose,0,None,0
507,do you know what kind this is,1,do,"1,0,3,0,0,0,1"
508,yes there's a man,1,s,"0,4,0,0"
509,that's a streamlined coach,1,s,"4,0,0,0"
510,what kind is that,1,is,"0,0,1,0"
511,put the baby where,1,put,"1,0,0,0"
512,where is the baby,1,is,"0,1,0,0"
513,where is she,1,is,"0,1,0"
514,or is she outside,1,is,"0,1,0,0"
515,is she sitting up,1,is,"1,0,5,0"
516,or is she in the bed,1,is,"0,1,0,0,0,0"
517,where is she,1,is,"0,1,0"
518,bed yes,0,None,"0,0"
519,this is the sleeping car,1,is,"0,1,0,0,0"
520,this is the dining car,1,is,"0,1,0,0,0"
521,where you sat,2,sat,"0,0,2"
522,this is a box car,1,is,"0,1,0,0,0"
523,know,1,know,1
524,what kind that is,1,is,"0,0,0,1"
525,yes those are men,1,are,"0,0,1,0"
526,what are they doing,1,are,"0,1,0,5"
527,do you know,1,do,"1,0,3"
528,men,0,None,0
529,what that is,1,is,"0,0,1"
530,you don't know,1,don't,"0,1,3"
531,that's the mail car,1,s,"4,0,0,0"
532,stop car,0,None,"0,0"
533,what is that,1,is,"0,1,0"
534,there's a truck,1,s,"4,0,0"
535,that looks like that,1,looks,"0,1,0,0"
536,tank car,0,None,"0,0"
537,and the last car on a train is called the what,1,is,"0,0,0,0,0,0,0,1,8,0,0"
538,it's called the caboose,1,s,"4,8,0,0"
539,caboose,0,None,0
540,what is that,1,is,"0,1,0"
541,it looks like a derrick,1,looks,"0,1,0,0,0"
542,but it's a crane,1,s,"0,4,0,0"
543,it's one of the tools,1,s,"4,0,0,0,0"
544,that they work with,1,work,"0,0,1,0"
545,that's an old time train,1,s,"4,0,0,0,0"
546,yes that does look like a broom doesn't it,1,does,"0,0,1,3,0,0,0,1,0"
547,where are you going,1,are,"0,1,0,5"
548,whose is this,1,is,"0,1,0"
549,what are you doing,1,are,"0,1,0,5"
550,fix bike,1,fix,"1,0"
551,take what,1,take,"1,0"
552,do what,1,does,"1,0"
553,paper,0,None,0
554,isn't that pretty,1,isn't,"1,0,0"
555,d a m,0,None,"0,0,0"
556,he always leaves the a off,1,leaves,"0,0,1,0,0,0"
557,when he's spelling,1,s,"0,4,5"
558,did you write it already,2,did,"2,0,3,0,0"
559,careful don't hit Ursula's feet with the tow truck,1,don't,"0,1,3,0,0,0,0,0,0"
560,what happened,2,happened,"0,2"
561,you hit your knee,2,hit,"0,2,0,0"
562,the tow truck hit your knee,2,hit,"0,0,0,2,0,0"
563,locomotive,0,None,0
564,that's a flat car,1,s,"4,0,0,0"
565,yes that is Donald Duck,1,is,"0,0,1,0,0"
566,Pinnochio,0,None,0
567,no,0,None,0
568,that's not Pinnochio,1,s,"4,0,0"
569,those are chipmunks and Mickey Mouse,1,are,"0,1,0,0,0,0"
570,put your pajamas on,1,put,"1,0,0,0"
571,put pajamas on,1,put,"1,0,0"
572,and we can ride the car,1,can,"0,0,7,3,0,0"
573,he had his bath before supper and he put his pajamas on and he this last night,2,had,"0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0"
574,and he put his pajamas on and he this last night,2,put,"0,0,2,0,0,0,0,0,0,0,0"
575,Daddy's racket,0,None,"0,0"
576,you can't play with Daddy's,1,can't,"0,7,3,0,0"
577,yes this Daddy's,0,None,"0,0,0"
578,where did your racket go,2,did,"0,2,0,0,3"
579,yes Daddy's racket,0,None,"0,0,0"
580,whose brief case is this,1,is,"0,0,0,1,0"
581,get off her briefcase honey,1,get,"1,0,0,0,0"
582,yes u p up,0,None,"0,0,0,0"
583,get up,1,get,"1,0"
584,up,0,None,0
585,up,0,None,0
586,come on,1,come,"1,0"
587,no you can't sit on his either,1,can't,"0,0,7,3,0,0,0"
588,you had it all squashed down,2,had,"0,2,0,0,8,0"
589,where's your foot,1,s,"4,0,0"
590,where's the other one,1,s,"4,0,0,0"
591,oh did you find it,2,did,"0,2,0,3,0"
592,how many do you have now,1,do,"0,0,1,0,3,0"
593,two feet,0,None,"0,0"
594,how many does Mr Cromer have,1,does,"0,0,1,0,0,3"
595,oh that's the knee,1,s,"0,4,0,0"
596,do you have elbow,1,have,"1,0,3,0"
597,what's an elbow,1,s,"4,0,0"
598,oh it's right on your arm,1,s,"0,4,0,0,0,0"
599,it's all squashed,1,s,"4,0,8"
600,all squashed,0,None,"0,0"
601,you're stepping on her feet,1,re,"4,5,0,0,0"
602,where are you sitting,1,are,"0,1,0,5"
603,where,0,None,0
604,Joshua's chair or did you say Joshua's shirt,2,did,"0,0,0,2,0,3,0,0"
605,foot,0,None,0
