,Sentence,Tense,Verb,NER Tag,encode_sent,POS,TAG
22,perhaps he's going back to school,1,s,"0,0,4,5,0,0,0","0, 6270, 301, 279, 497, 511, 302, 828, 2","['ADV', 'PRON', 'AUX', 'VERB', 'ADV', 'ADP', 'NOUN']","['RB', 'PRP', 'VBZ', 'VBG', 'RB', 'IN', 'NN']"
23,not on the window sill Adam,0,None,"0,0,0,0,0,0","0, 829, 307, 272, 1615, 10121, 1834, 2","['PART', 'ADP', 'DET', 'NOUN', 'NOUN', 'PROPN']","['RB', 'IN', 'DT', 'NN', 'NN', 'NNP']"
24,you write on the paper,1,write,"0,1,0,0,0","0, 266, 1330, 307, 272, 1243, 2","['PRON', 'VERB', 'ADP', 'DET', 'NOUN']","['PRP', 'VBP', 'IN', 'DT', 'NN']"
25,my paper,0,None,"0,0","0, 450, 1243, 2","['DET', 'NOUN']","['PRP$', 'NN']"
26,circus,0,None,0,"0, 13025, 2",['PROPN'],['NNP']
27,sitting in Adam's chair,0,None,"5,0,0,0,0","0, 7134, 318, 1834, 279, 910, 2","['VERB', 'ADP', 'PROPN', 'PART', 'NOUN']","['VBG', 'IN', 'NNP', 'POS', 'NN']"
28,why don't you read it to me,1,don't,"0,1,0,0,3,0,0,0","0, 601, 358, 309, 273, 569, 290, 302, 376, 2","['ADV', 'AUX', 'PART', 'PRON', 'VERB', 'PRON', 'ADP', 'PRON']","['WRB', 'VBP', 'RB', 'PRP', 'VB', 'PRP', 'IN', 'PRP']"
29,dog,0,None,0,"0, 2661, 2",['PROPN'],['NNP']
30,that's Cathy,1,s,"0,4,0","0, 363, 279, 7123, 2","['DET', 'AUX', 'PROPN']","['DT', 'VBZ', 'NNP']"
31,horn,0,None,0,"0, 21704, 2",['NOUN'],['NN']
32,is this a horn,1,is,"1,0,0,0","0, 281, 346, 265, 3320, 2","['AUX', 'DET', 'DET', 'NOUN']","['VBZ', 'DT', 'DT', 'NN']"
33,how many do you have like this,1,do,"0,0,1,0,3,0,0","0, 467, 907, 299, 273, 381, 349, 346, 2","['ADV', 'ADJ', 'AUX', 'PRON', 'AUX', 'SCONJ', 'DET']","['WRB', 'JJ', 'VBP', 'PRP', 'VB', 'IN', 'DT']"
34,where are you going,1,are,"0,1,0,5","0, 442, 385, 273, 497, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBP', 'PRP', 'VBG']"
35,how does a bunny walk,1,does,"0,1,0,0,3","0, 467, 462, 265, 1185, 958, 2","['ADV', 'AUX', 'DET', 'NOUN', 'VERB']","['WRB', 'VBZ', 'DT', 'NN', 'VB']"
36,does he walk like you,1,does,"1,0,3,0,0","0, 791, 301, 958, 349, 273, 2","['AUX', 'PRON', 'VERB', 'SCONJ', 'PRON']","['VBZ', 'PRP', 'VB', 'IN', 'PRP']"
37,or does he go hop hop hop,1,does,"0,1,0,3,0,0,0","0, 313, 462, 301, 316, 1364, 1364, 1364, 2","['CCONJ', 'AUX', 'PRON', 'VERB', 'INTJ', 'NOUN', 'NOUN']","['CC', 'VBZ', 'PRP', 'VB', 'UH', 'NN', 'NN']"
38,what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VBG']"
39,sweep broom,1,sweep,"1,0","0, 12165, 3367, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
40,is that a broom,1,is,"1,0,0,0","0, 281, 296, 265, 3367, 2","['AUX', 'SCONJ', 'DET', 'NOUN']","['VBZ', 'IN', 'DT', 'NN']"
41,I thought it was a brush,2,thought,"0,2,0,2,0,0","0, 45, 1006, 290, 405, 265, 1731, 2","['PRON', 'VERB', 'PRON', 'AUX', 'DET', 'NOUN']","['PRP', 'VBD', 'PRP', 'VBD', 'DT', 'NN']"
42,it was a brush,2,was,"0,2,0,0","0, 274, 405, 265, 1731, 2","['PRON', 'AUX', 'DET', 'NOUN']","['PRP', 'VBD', 'DT', 'NN']"
43,okay,0,None,0,"0, 367, 2",['INTJ'],['UH']
44,Adam Smith,0,None,"0,0","0, 2637, 8913, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
45,is that the bunny name,1,is,"1,0,0,0,0","0, 281, 296, 272, 1185, 766, 2","['AUX', 'SCONJ', 'DET', 'NOUN', 'NOUN']","['VBZ', 'IN', 'DT', 'NN', 'NN']"
46,get what,1,get,"1,0","0, 657, 339, 2","['AUX', 'PRON']","['VB', 'WP']"
47,what,0,None,0,"0, 312, 2",['PRON'],['WP']
48,what is it,1,is,"0,1,0","0, 312, 328, 290, 2","['PRON', 'AUX', 'PRON']","['WP', 'VBZ', 'PRP']"
49,hear a tractor,1,hear,"1,0,0","0, 4892, 265, 2905, 2","['VERB', 'DET', 'NOUN']","['VB', 'DT', 'NN']"
50,no I think,1,think,"0,0,1","0, 286, 322, 399, 2","['INTJ', 'PRON', 'VERB']","['UH', 'PRP', 'VBP']"
51,that's a truck,1,s,"0,4,0,0","0, 363, 279, 265, 971, 2","['DET', 'AUX', 'DET', 'NOUN']","['DT', 'VBZ', 'DT', 'NN']"
52,if you look out the other window,1,look,"0,0,1,0,0,0,0","0, 426, 273, 415, 428, 272, 617, 1615, 2","['SCONJ', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN']","['IN', 'PRP', 'VBP', 'RP', 'DT', 'JJ', 'NN']"
53,maybe you'll see it,3,ll,"0,0,6,3,0","0, 882, 273, 436, 384, 290, 2","['ADV', 'PRON', 'VERB', 'VERB', 'PRON']","['RB', 'PRP', 'MD', 'VB', 'PRP']"
54,did you see the truck,2,did,"2,0,3,0,0","0, 546, 273, 384, 272, 971, 2","['AUX', 'PRON', 'VERB', 'DET', 'NOUN']","['VBD', 'PRP', 'VB', 'DT', 'NN']"
55,no you didn't see it,2,didn't,"0,0,2,0,3,0","0, 286, 273, 611, 309, 384, 290, 2","['INTJ', 'PRON', 'AUX', 'PART', 'VERB', 'PRON']","['UH', 'PRP', 'VBD', 'RB', 'VB', 'PRP']"
56,there goes one,1,goes,"0,1,0","0, 461, 759, 383, 2","['PRON', 'VERB', 'NUM']","['EX', 'VBZ', 'CD']"
57,yes there goes one,1,goes,"0,0,1,0","0, 506, 386, 759, 383, 2","['INTJ', 'PRON', 'VERB', 'NUM']","['UH', 'EX', 'VBZ', 'CD']"
58,put the truck where,1,put,"1,0,0,0","0, 676, 272, 971, 605, 2","['VERB', 'DET', 'NOUN', 'ADV']","['VB', 'DT', 'NN', 'WRB']"
59,I think that,1,think,"0,1,0","0, 45, 399, 296, 2","['PRON', 'VERB', 'DET']","['PRP', 'VBP', 'DT']"
60,that one's too large to go in the window,1,s,"0,0,4,0,0,0,3,0,0,0","0, 363, 383, 279, 498, 4770, 302, 316, 318, 272, 1615, 2","['SCONJ', 'PRON', 'AUX', 'ADV', 'ADJ', 'PART', 'VERB', 'ADP', 'DET', 'NOUN']","['IN', 'PRP', 'VBZ', 'RB', 'JJ', 'TO', 'VB', 'IN', 'DT', 'NN']"
61,tow truck come here,1,come,"0,0,1,0","0, 7194, 971, 553, 402, 2","['PROPN', 'NOUN', 'VERB', 'ADV']","['NNP', 'NN', 'VBP', 'RB']"
62,where,0,None,0,"0, 442, 2",['ADV'],['WRB']
63,oh yeah,0,None,"0,0","0, 332, 642, 2","['INTJ', 'INTJ']","['UH', 'UH']"
64,that's a big truck,1,s,"0,4,0,0,0","0, 363, 279, 265, 535, 971, 2","['DET', 'AUX', 'DET', 'ADJ', 'NOUN']","['DT', 'VBZ', 'DT', 'JJ', 'NN']"
65,there goes another one,1,goes,"0,1,0,0","0, 461, 759, 754, 383, 2","['PRON', 'VERB', 'DET', 'NOUN']","['EX', 'VBZ', 'DT', 'NN']"
66,busy bulldozer,0,None,"0,0","0, 8350, 6279, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
67,yes look another one,1,look,"0,1,0,0","0, 506, 415, 754, 383, 2","['INTJ', 'VERB', 'DET', 'NOUN']","['UH', 'VB', 'DT', 'NN']"
68,Bozo,0,None,0,"0, 12636, 2",['PROPN'],['NNP']
69,did you show Ursula that,2,did,"2,0,3,0,0","0, 546, 273, 873, 4436, 296, 2","['AUX', 'PRON', 'VERB', 'PROPN', 'DET']","['VBD', 'PRP', 'VB', 'NNP', 'WDT']"
70,do you know,1,do,"1,0,3","0, 410, 273, 378, 2","['AUX', 'PRON', 'VERB']","['VBP', 'PRP', 'VB']"
71,what those are,1,are,"0,0,1","0, 312, 594, 385, 2","['PRON', 'DET', 'AUX']","['WP', 'DT', 'VBP']"
72,I guess,1,guess,"0,1","0, 45, 1020, 2","['PRON', 'VERB']","['PRP', 'VBP']"
73,she might like to see that,1,might,"0,7,3,0,3,0","0, 531, 976, 349, 302, 384, 296, 2","['PRON', 'VERB', 'VERB', 'PART', 'VERB', 'DET']","['PRP', 'MD', 'VB', 'TO', 'VB', 'DT']"
74,what kind of hat is that,1,is,"0,0,0,0,1,0","0, 312, 549, 340, 978, 328, 296, 2","['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'DET']","['WDT', 'NN', 'IN', 'NN', 'VBZ', 'DT']"
75,Adam's hat,0,None,"0,0,0","0, 2637, 279, 978, 2","['PROPN', 'PART', 'NOUN']","['NNP', 'POS', 'NN']"
76,where have you seen a hat like that,1,have,"0,1,0,8,0,0,0,0","0, 442, 381, 273, 1271, 265, 978, 349, 296, 2","['ADV', 'AUX', 'PRON', 'VERB', 'DET', 'NOUN', 'SCONJ', 'DET']","['WRB', 'VBP', 'PRP', 'VBN', 'DT', 'NN', 'IN', 'DT']"
77,what do you think this is,1,do,"0,1,0,3,0,1","0, 312, 299, 273, 399, 346, 328, 2","['PRON', 'AUX', 'PRON', 'VERB', 'DET', 'AUX']","['WP', 'VBP', 'PRP', 'VB', 'DT', 'VBZ']"
78,Humpty Dumpty,0,None,"0,0","0, 8149, 7429, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
79,no,0,None,0,"0, 286, 2",['INTJ'],['UH']
80,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
81,not the kind you hit,1,hit,"0,0,0,0,1","0, 829, 272, 549, 273, 1467, 2","['PART', 'DET', 'NOUN', 'PRON', 'VERB']","['RB', 'DT', 'NN', 'PRP', 'VBP']"
82,but the kind you kick,1,kick,"0,0,0,0,1","0, 545, 272, 549, 273, 2287, 2","['CCONJ', 'DET', 'NOUN', 'PRON', 'VERB']","['CC', 'DT', 'NN', 'PRP', 'VBP']"
83,so what kind of ball is that,1,is,"0,0,0,0,0,1,0","0, 513, 339, 549, 340, 690, 328, 296, 2","['ADV', 'PRON', 'NOUN', 'ADP', 'NOUN', 'AUX', 'DET']","['RB', 'WP', 'NN', 'IN', 'NN', 'VBZ', 'DT']"
84,not shoe ball,0,None,"0,0,0","0, 829, 1499, 690, 2","['PART', 'PROPN', 'PROPN']","['RB', 'NNP', 'NNP']"
85,foot ball,0,None,"0,0","0, 4263, 690, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
86,I saw a tank truck,2,saw,"0,2,0,0,0","0, 45, 1099, 265, 4074, 971, 2","['PRON', 'VERB', 'DET', 'NOUN', 'NOUN']","['PRP', 'VBD', 'DT', 'NN', 'NN']"
87,you change the kitty's diaper,1,change,"0,1,0,0,0,0","0, 266, 1832, 272, 1015, 279, 1780, 2","['PRON', 'VERB', 'DET', 'PROPN', 'PART', 'NOUN']","['PRP', 'VBP', 'DT', 'NNP', 'POS', 'NN']"
88,was he dirty,2,was,"2,0,0","0, 1410, 301, 1591, 2","['AUX', 'PRON', 'ADJ']","['VBD', 'PRP', 'JJ']"
89,okay kitty what,0,None,"0,0,0","0, 367, 1015, 339, 2","['INTJ', 'PROPN', 'PRON']","['UH', 'NNP', 'WP']"
90,Adam fall toy,1,fall,"0,1,0","0, 2637, 1048, 1208, 2","['PROPN', 'NOUN', 'NOUN']","['NNP', 'NN', 'NN']"
91,you didn't fall that time,2,didn't,"0,2,0,3,0,0","0, 266, 611, 309, 1048, 296, 627, 2","['PRON', 'AUX', 'PART', 'VERB', 'DET', 'NOUN']","['PRP', 'VBD', 'RB', 'VB', 'DT', 'NN']"
92,you just sat down,2,sat,"0,0,2,0","0, 266, 458, 2841, 483, 2","['PRON', 'ADV', 'VERB', 'ADP']","['PRP', 'RB', 'VBD', 'RP']"
93,that one doesn't have a bunny on,1,doesn't have,"0,0,1,0,3,0,0,0","0, 363, 383, 644, 309, 381, 265, 1185, 307, 2","['SCONJ', 'PRON', 'AUX', 'PART', 'AUX', 'DET', 'NOUN', 'ADP']","['IN', 'PRP', 'VBZ', 'RB', 'VB', 'DT', 'NN', 'IN']"
94,those are her paper clips,1,are,"0,1,0,0,0","0, 1144, 385, 470, 1243, 9837, 2","['DET', 'AUX', 'DET', 'NOUN', 'NOUN']","['DT', 'VBP', 'PRP$', 'NN', 'NNS']"
95,you don't need a pencil,1,don't,"0,1,0,3,0,0","0, 266, 358, 309, 664, 265, 2746, 2","['PRON', 'AUX', 'PART', 'VERB', 'DET', 'NOUN']","['PRP', 'VBP', 'RB', 'VB', 'DT', 'NN']"
96,you had a pencil,2,had,"0,2,0,0","0, 266, 630, 265, 2746, 2","['PRON', 'AUX', 'DET', 'NOUN']","['PRP', 'VBD', 'DT', 'NN']"
97,here's a pencil,1,s,"0,4,0,0","0, 355, 279, 265, 2746, 2","['ADV', 'AUX', 'DET', 'NOUN']","['RB', 'VBZ', 'DT', 'NN']"
98,thank you,1,thank,"1,0","0, 764, 273, 2","['VERB', 'PRON']","['VBP', 'PRP']"
99,why don't you take that over,1,don't,"0,1,0,0,3,0,0","0, 601, 358, 309, 273, 577, 296, 521, 2","['ADV', 'AUX', 'PART', 'PRON', 'VERB', 'DET', 'ADP']","['WRB', 'VBP', 'RB', 'PRP', 'VB', 'DT', 'IN']"
100,and show it to him,1,show,"0,1,0,0,0","0, 347, 873, 290, 302, 502, 2","['CCONJ', 'VERB', 'PRON', 'ADP', 'PRON']","['CC', 'VB', 'PRP', 'IN', 'PRP']"
101,maybe he likes ball players,1,likes,"0,0,1,0,0","0, 882, 301, 945, 690, 8187, 2","['ADV', 'PRON', 'VERB', 'NOUN', 'NOUN']","['RB', 'PRP', 'VBZ', 'NN', 'NNS']"
102,do you think he would,1,do,"1,0,3,0,7","0, 410, 273, 399, 301, 559, 2","['AUX', 'PRON', 'VERB', 'PRON', 'VERB']","['VBP', 'PRP', 'VB', 'PRP', 'MD']"
103,did you show him the ball player,2,did,"2,0,3,0,0,0,0","0, 546, 273, 873, 502, 272, 690, 3343, 2","['AUX', 'PRON', 'VERB', 'PRON', 'DET', 'NOUN', 'NOUN']","['VBD', 'PRP', 'VB', 'PRP', 'DT', 'NN', 'NN']"
104,your ball player,0,None,"0,0,0","0, 1009, 690, 3343, 2","['DET', 'NOUN', 'NOUN']","['PRP$', 'NN', 'NN']"
105,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
106,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
107,boots yes,0,None,"0,0","0, 10534, 860, 2","['NOUN', 'INTJ']","['NNS', 'UH']"
108,no Mr Greenjeans isn't on now,1,isn't,"0,0,0,1,0,0,0","0, 286, 2695, 33546, 918, 309, 307, 508, 2","['DET', 'PROPN', 'PROPN', 'AUX', 'PART', 'ADV', 'ADV']","['DT', 'NNP', 'NNP', 'VBZ', 'RB', 'RB', 'RB']"
109,wouldn't you like to pick these up,1,wouldn't,"7,0,0,3,0,0,0,0","0, 5092, 309, 273, 349, 302, 895, 596, 403, 2","['VERB', 'PART', 'PRON', 'VERB', 'PART', 'VERB', 'DET', 'ADP']","['MD', 'RB', 'PRP', 'VB', 'TO', 'VB', 'DT', 'RP']"
110,part what trailer,0,None,"0,0,0","0, 5902, 339, 6110, 2","['NOUN', 'PRON', 'NOUN']","['NN', 'WP', 'NN']"
111,is that part of the two truck,1,is,"1,0,0,0,0,0,0","0, 281, 296, 1031, 340, 272, 659, 971, 2","['AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NUM', 'NOUN']","['VBZ', 'DT', 'NN', 'IN', 'DT', 'CD', 'NN']"
112,night night,0,None,"0,0","0, 1487, 905, 2","['NOUN', 'NOUN']","['NN', 'NN']"
113,are you ready to go night night,1,are,"1,0,0,0,3,0,0","0, 472, 273, 974, 302, 316, 905, 905, 2","['AUX', 'PRON', 'ADJ', 'PART', 'VERB', 'NOUN', 'NOUN']","['VBP', 'PRP', 'JJ', 'TO', 'VB', 'NN', 'NN']"
114,what kind of hat is that,1,is,"0,0,0,0,1,0","0, 312, 549, 340, 978, 328, 296, 2","['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'DET']","['WDT', 'NN', 'IN', 'NN', 'VBZ', 'DT']"
115,you hit your head didn't you,2,hit,"0,2,0,0,2,0,0","0, 266, 1467, 345, 870, 611, 309, 273, 2","['PRON', 'VERB', 'DET', 'NOUN', 'AUX', 'PART', 'PRON']","['PRP', 'VBP', 'PRP$', 'NN', 'VBD', 'RB', 'PRP']"
116,did it hurt,2,did,"2,0,0","0, 546, 290, 1173, 2","['AUX', 'PRON', 'VERB']","['VBD', 'PRP', 'VB']"
117,poor head,0,None,"0,0","0, 2719, 870, 2","['ADJ', 'NOUN']","['JJ', 'NN']"
118,don't pull Mommy,1,don't,"1,0,0,0","0, 629, 309, 1108, 688, 2","['AUX', 'PART', 'VERB', 'PROPN']","['VB', 'RB', 'VB', 'NNP']"
119,put pillow on the floor,1,put,"1,0,0,0,0","0, 676, 2349, 307, 272, 1191, 2","['VERB', 'NOUN', 'ADP', 'DET', 'NOUN']","['VB', 'NN', 'IN', 'DT', 'NN']"
120,you want Mommy to sit on the floor,1,want,"0,1,0,0,3,0,0,0","0, 266, 427, 688, 302, 726, 307, 272, 1191, 2","['PRON', 'VERB', 'PROPN', 'PART', 'VERB', 'ADP', 'DET', 'NOUN']","['PRP', 'VBP', 'NNP', 'TO', 'VB', 'IN', 'DT', 'NN']"
121,you sit floor,1,sit,"0,1,0","0, 266, 726, 1191, 2","['PRON', 'VERB', 'NOUN']","['PRP', 'VBP', 'NN']"
122,what do you want Mommy to do,1,do,"0,1,0,3,0,0,3","0, 312, 299, 273, 427, 688, 302, 299, 2","['PRON', 'AUX', 'PRON', 'VERB', 'PROPN', 'PART', 'AUX']","['WP', 'VBP', 'PRP', 'VB', 'NNP', 'TO', 'VB']"
123,do you want Mommy to stand up,1,do,"1,0,3,0,0,3,0","0, 410, 273, 427, 688, 302, 1211, 403, 2","['AUX', 'PRON', 'VERB', 'PROPN', 'PART', 'VERB', 'ADP']","['VBP', 'PRP', 'VB', 'NNP', 'TO', 'VB', 'RP']"
124,Mommy stand up,1,stand,"0,1,0","0, 1087, 1211, 403, 2","['PROPN', 'VERB', 'ADP']","['NNP', 'VB', 'RP']"
125,alright,0,None,0,"0, 671, 2",['INTJ'],['UH']
126,Adam what,0,None,"0,0","0, 2637, 339, 2","['PROPN', 'PRON']","['NNP', 'WP']"
127,what about the chair,0,None,"0,0,0,0","0, 312, 482, 272, 910, 2","['PRON', 'ADP', 'DET', 'NOUN']","['WP', 'IN', 'DT', 'NN']"
128,nice pony,0,None,"0,0","0, 2058, 3652, 2","['PROPN', 'NOUN']","['NNP', 'NN']"
129,what's your pony's name,1,s,"0,4,0,0,0,0","0, 312, 279, 345, 3652, 279, 766, 2","['PRON', 'AUX', 'DET', 'NOUN', 'PART', 'NOUN']","['WP', 'VBZ', 'PRP$', 'NN', 'POS', 'NN']"
130,may please,1,may,"7,0","0, 3158, 909, 2","['VERB', 'VERB']","['MD', 'VB']"
131,what do you want that for,1,do,"0,1,0,3,0,0","0, 312, 299, 273, 427, 296, 397, 2","['PRON', 'AUX', 'PRON', 'VERB', 'DET', 'ADP']","['WP', 'VBP', 'PRP', 'VB', 'DT', 'IN']"
132,fix kitty,1,fix,"1,0","0, 4598, 1015, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
133,make mosquito,1,make,"1,0","0, 1727, 7139, 2","['VERB', 'PROPN']","['VB', 'NNP']"
134,fine book,0,None,"0,0","0, 4307, 523, 2","['ADJ', 'NOUN']","['JJ', 'NN']"
135,that's Daddy's filing case,1,s,"0,4,0,0,0,0","0, 363, 279, 825, 279, 24678, 3920, 2","['DET', 'AUX', 'NOUN', 'PART', 'NOUN', 'NOUN']","['DT', 'VBZ', 'NN', 'POS', 'NN', 'NN']"
136,don't take those out,1,do,"1,0,3,0,0","0, 629, 309, 577, 594, 428, 2","['AUX', 'PART', 'VERB', 'DET', 'ADP']","['VB', 'RB', 'VB', 'DT', 'RP']"
137,leave them in there,1,leave,"1,0,0,0","0, 2424, 495, 318, 386, 2","['VERB', 'PRON', 'ADV', 'ADV']","['VB', 'PRP', 'RB', 'RB']"
138,why not,0,None,"0,0","0, 601, 419, 2","['ADV', 'PART']","['WRB', 'RB']"
139,because they're Daddy's,1,re,"0,0,4,0,0","0, 1066, 412, 375, 825, 279, 2","['SCONJ', 'PRON', 'AUX', 'NOUN', 'PART']","['IN', 'PRP', 'VBP', 'NN', 'POS']"
140,what is in there,1,is,"0,1,0,0","0, 312, 328, 318, 386, 2","['PRON', 'AUX', 'ADV', 'ADV']","['WP', 'VBZ', 'RB', 'RB']"
141,oh,0,None,0,"0, 332, 2",['INTJ'],['UH']
142,get Adam's bike,1,get,"1,0,0,0","0, 657, 1834, 279, 2126, 2","['AUX', 'PROPN', 'PART', 'NOUN']","['VB', 'NNP', 'POS', 'NN']"
143,what pillow,0,None,"0,0","0, 312, 2349, 2","['DET', 'NOUN']","['WDT', 'NN']"
144,that's a good one to jump on,1,s,"0,4,0,0,0,0,3,0","0, 363, 279, 265, 455, 383, 302, 1155, 307, 2","['DET', 'AUX', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'ADP']","['DT', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'IN']"
145,which book,0,None,"0,0","0, 1106, 523, 2","['DET', 'NOUN']","['WDT', 'NN']"
146,that's not really a boy's book,1,s,"0,4,0,0,0,0,0,0","0, 363, 279, 419, 597, 265, 694, 279, 523, 2","['DET', 'AUX', 'PART', 'ADV', 'DET', 'NOUN', 'PART', 'NOUN']","['DT', 'VBZ', 'RB', 'RB', 'DT', 'NN', 'POS', 'NN']"
147,see,1,see,1,"0, 584, 2",['INTJ'],['UH']
148,there are no pictures,1,are,"0,1,0,0","0, 461, 385, 361, 1614, 2","['PRON', 'AUX', 'DET', 'NOUN']","['EX', 'VBP', 'DT', 'NNS']"
149,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
150,he sticks to me like,1,sticks,"0,1,0,0,0","0, 262, 3248, 302, 376, 349, 2","['PRON', 'VERB', 'ADP', 'PRON', 'SCONJ']","['PRP', 'VBZ', 'IN', 'PRP', 'IN']"
151,and scares away,1,scares,"0,1,0","0, 347, 7605, 785, 2","['CCONJ', 'NOUN', 'ADV']","['CC', 'NNS', 'RB']"
152,and surprise me with a shower,1,surprise,"0,1,0,0,0,0","0, 347, 3723, 376, 392, 265, 3667, 2","['CCONJ', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN']","['CC', 'VB', 'PRP', 'IN', 'DT', 'NN']"
153,I'm a copy cat just like,1,m,"0,4,0,0,0,0,0","0, 45, 488, 265, 6468, 859, 458, 349, 2","['PRON', 'AUX', 'DET', 'NOUN', 'NOUN', 'ADV', 'SCONJ']","['PRP', 'VBP', 'DT', 'NN', 'NN', 'RB', 'IN']"
