Number,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Hungarian,Italian,Japanese,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Welsh (masculine),Welsh (feminine),Scottish Gaelic (Traditional),Scottish Gaelic (Modern)
10,shi,deset,deset,ti,tien,ten,kümme,kymmenen,dix,zehn,tíz,dieci,juu,ti,dziesiec,dez,zece,diez,tio,on,deg,deg,deich,deich
11,shiyi,jedanaest,jedenáct,elleve,elf,eleven,üksteist,yksitoista,onze,elf,tízenegy,undici,juuichi,elleve,jedenascie,onze,unsprezece,once,elva,on bir,un deg un,un deg un,aon deug,aon deug
12,shier,dvanaest,dvanáct,tolv,twaalf,twelve,kaksteist,kaksitoista,douze,zwölf,tízenkettö,dodici,juuni,tolv,dwanascie,doze,doisprezece,doce,tolv,on iki,un deg dau,un deg dwy,dà dheug,dà dheug
13,shisan,trinaest,trináct,tretten,dertien,thirteen,kolmteist,kolmetoista,treize,dreizehn,tízenhárom,tredici,juusan,tretten,trzynascie,treze,treisprezece,trece,tretton,on üç,un deg tri,un deg tair,trì deug,trì deug
14,shisi,cetrnaest,ctrnáct,fjorten,veertien,fourteen,neliteist,neljätoista,quatorze,vierzehn,tízennégy,quattordici,juushi,fjorten,czternascie,catorze,paisprezece,catorce,fjorton,on dört,un deg pedwar,un deg pedair,ceithir deug,ceithir deug
15,shiwu,petnaest,patnáct,femten,vijftien,fifteen,viisteist,viisitoista,quinze,funfzehn,tízenöt,quindici,juugo,femten,pietnascie,quinze,cincisprezece,quince,femton,on bes,un deg pump,un deg pump,coig deug,coig deug
16,shiliu,šesnaest,sestnáct,seksten,zestien,sixteen,kuusteist,kuusitoista,seize,sechszehn,tízenhat,sedici,juuroku,seksten,szesnascie,dezasseis,saisprezece,dieciséis,sexton,on alti,un deg chwech,un deg chwech,sia deug,sia deug
17,shiqi,sedamnaest,sedmnáct,sytten,zeventien,seventeen,seitseteist,seitsemäntoista,dix-sept,siebzehn,tízenhét,diciassette,juushichi,sytten,siedemnascie,dezassete,saptesprezece,diecisiete,sjutton,on yedi,un deg saith,un deg saith,seachd deug,seachd deug
18,shiba,osamnaest,osmnáct,atten,achttien,eighteen,kaheksateist,kahdeksantoista,dix-huit,achtzehn,tízennyolc,diciotto,juuhachi,atten,osiemnascie,dezoito,optsprezece,dieciocho,arton,on sekiz,un deg wyth,un deg wyth,ochd deug,ochd deug
19,shijiu,devetnaest,devatenáct,nitten,negentien,nineteen,üheksateist,yhdeksäntoista,dix-neuf,neunzehn,tízenkilenc,diciannove,juuku,nitten,dziewietnascie,dezanove,nouasprezece,diecinueve,nitton,on dokuz,un deg naw,un deg naw,naoi deug,naoi deug
20,ershi,dvadeset,dvacet,tyve,twintig,twenty,kakskümmend,kaksikymmentä,vingt,zwanzig,húsz,venti,nijuu,tjue,dwadziescia,vinte,douazeci,veinte,tjugo,yirmi,dau ddeg,dau ddeg,fichead,fichead
21,ershiyi,dvadeset jedan,dvacetjedna,énogtyve,eenentwintig,twenty-one,kakskümmend üks,kaksikymmentäyksi,vingtet un,einundzwanzig,húszonegy,ventuno,nijuuichi,tjueen,dwadziesciajeden,vintee um,douazecisiunu,veintiuno,tjugoen,yirmi bir,dau ddeg un,dau ddeg un,aon air fhichead,fichead 's a h-aon
22,ershier,dvadeset dva,dvacetdva,toogtyve,tweeëntwintig,twenty-two,kakskümmend kaks,kaksikymmentäkaksi,vingt-deux,zweiundzwanzig,húszonkettö,ventidue,nijuuni,tjueto,dwadziesciadwa,vintee dois,douazecisidoi,veintidós,tjugotvå,yirmi iki,dau ddeg dau,dau ddeg dwy,dhà air fhichead,fichead 's a dhà
23,ershisan,dvadeset tri,dvacettri,treogtyve,drieëntwintig,twenty-three,kakskümmend kolm,kaksikymmentäkolme,vingt-trois,dreiundzwanzig,húszonhárom,ventitre,nijuusan,tjuetre,dwadziesciatrzy,vintee três,douazecisitrei,veintitrés,tjugotre,yirmi üç,dau ddeg tri,dau ddeg tair,trì air fhichead,fichead 's a trì
24,ershisi,dvadeset četiri,dvacetchtyri,fireogtyve,vierentwintig,twenty-four,kakskümmend neli,kaksikymmentäneljä,vingt-quatre,vierundzwanzig,húszonnégy,ventiquattro,nijuushi,tjuefire,dwadziesciacztery,vintee quatro,douazecisipatru,veinticuatro,tjugofyra,yirmi dört,dau ddeg pedwar,dau ddeg pedair,ceithir air fhichead,fichead 's a ceithir
25,ershiwu,dvadeset pet,dvacetpet,femogtyve,vijfentwintig,twenty-five,kakskümmend viis,kaksikymmentäviisi,vingt-cinq,fünfundzwanzig,húszonöt,venticinque,nijuugo,tjuefem,dwadziesciapiec,vintee cinco,douazecisicinci,veinticinco,tjugofem,yirmi bes,dau ddeg pump,dau ddeg pump,coig air fhichead,fichead 's a còig
26,ershiliu,dvadeset šest,dvacetshest,seksogtyve,zesentwintig,twenty-six,kakskümmend kuus,kaksikymmentäkuusi,vingt-six,sechsundzwanzig,húszonhat,ventisei,nijuuroku,tjueseks,dwadziesciaszesc,vintee seis,douazecisisase,veintiséis,tjugosex,yirmi alti,dau ddeg chwech,dau ddeg chwech,sia air fhichead,fichead 's a sia
27,ershiqi,dvadeset sedam,dvacetsedm,syvogtyve,zevenentwintig,twenty-seven,kakskümmend seitse,kaksikymmentäseitsemän,vingt-sept,siebenundzwanzig,húszonhét,ventisette,nijuushichi,tjuesyv,dwadziesciasiedem,vintee sete,douazecisisapte,veintisiete,tjugosju,yirmi yedi,dau ddeg saith,dau ddeg saith,seachd air fhichead,fichead 's a seachd
28,ershiba,dvadeset osam,dvacetosm,otteogtyve,achtentwintig,twenty-eight,kakskümmend kaheksa,kaksikymmentäkahdeksan,vingt-huit,achtundzwanzig,húszonnyolc,ventotto,nijuuhachi,tjueåtte,dwadziesciaosiem,vintee oito,douazecisiopt,veintiocho,tjugoåtta,yirmi sekiz,dau ddeg wyth,dau ddeg wyth,ochd air fhichead,fichead 's a ochd
29,ershijiu,dvadeset devet,dvacetdevet,niogtyve,negenentwintig,twenty-nine,kakskümmend üheksa,kaksikymmentäyhdeksän,vingt-neuf,neunundzwanzig,húszonkilenc,ventinove,nijuuku,tjueni,dwadziesciadziewiec,vintee nove,douazecisinoua,veintinueve,tjugonio,yirmi dokuz,dau ddeg naw,dau ddeg naw,naoi air fhichead,fichead 's a naoi
30,sanshi,trideset,tricet,tredive,dertig,thirty,kolmkümmend,kolmekymmentä,trente,dreißig,harminc,trenta,sanjuu,tretti,trzydzìesci,trinta,treizeci,treinta,trettio,otuz,tri deg,tri deg,deich air fhichead,trithead
31,sanshiyi,trideset jedan,tricetjedna,énogtredive,eenendertig,thirty-one,kolmkümmend üks,kolmekymmentäyksi,trenteet un,einunddreißig,harmincegy,trentuno,sanjuuichi,trettien,trzydzìescijeden,trintae um,treizecisiunu,treintay uno,trettioen,otuz bir,tri deg un,tri deg un,aon deug air fhichead,trithead 's a h-aon
32,sanshier,trideset dva,tricetdva,toogtredive,tweeëndertig,thirty-two,kolmkümmend kaks,kolmekymmentäkaksi,trente-deux,zweiunddreißig,harminckettö,trentadue,sanjuuni,trettito,trzydzìescidwa,trintae dois,treizecisidoi,treintay dos,trettiotvå,otuz iki,tri deg dau,tri deg dwy,dhà dheug air fhichead,trithead 's a dhà
33,sanshisan,trideset tri,tricettri,treogtredive,drieëndertig,thirty-three,kolmkümmend kolm,kolmekymmentäkolme,trente-trois,dreiunddreißig,harminchárom,trentatre,sanjuusan,trettitre,trzydzìescitrzy,trintae três,treizecisitrei,treintay tres,trettiotre,otuz üç,tri deg tri,tri deg tair,trì deug air fhichead,trithead 's a trì
34,sanshisi,trideset četiri,tricetchtyri,fireogtredive,vierendertig,thirty-four,kolmkümmend neli,kolmekymmentäneljä,trente-quatre,vierunddreißig,harmincnégy,trentaquattro,sanjuushi,trettifire,trzydzìescicztery,trintae quatro,treizecisipatru,treintay cuatro,trettiofyra,otuz dört,tri deg pedwar,tri deg pedair,ceithir deug air fhichead,trithead 's a ceithir
35,sanshiwu,trideset pet,tricetpet,femogtredive,vijfendertig,thirty-five,kolmkümmend viis,kolmekymmentäviisi,trente-cinq,fünfunddreißig,harmincöt,trentacinque,sanjuugo,trettifem,trzydzìescipiec,trintae cinco,treizecisicinci,treintay cinco,trettiofem,otuz bes,tri deg pump,tri deg pump,coig deug air fhichead,trithead 's a còig
36,sanshiliu,trideset šest,tricetshest,seksogtredive,zesendertig,thirty-six,kolmkümmend kuus,kolmekymmentäkuusi,trente-six,sechsunddreißig,harminchat,trentasei,sanjuuroku,trettiseks,trzydzìesciszesc,trintae seis,treizecisisase,treintay seis,trettiosex,otuz alti,tri deg chwech,tri deg chwech,sia deug air fhichead,trithead 's a sia
37,sanshiqi,trideset sedam,tricetsedm,syvogtredive,zevenendertig,thirty-seven,kolmkümmend seitse,kolmekymmentäseitsemän,trente-sept,siebenunddreißig,harminchét,trentasette,sanjuushichi,trettisyv,trzydzìescisiedem,trintae sete,treizecisisapte,treintay siete,trettiosju,otuz yedi,tri deg saith,tri deg saith,seachd deug air fhichead,trithead 's a seachd
38,sanshiba,trideset osam,tricetosm,otteogtredive,achtendertig,thirty-eight,kolmkümmend kaheksa,kolmekymmentäkahdeksan,trente-huit,achtunddreißig,harmincnyolc,trentotto,sanjuuhachi,trettiåtte,trzydzìesciosiem,trintae oito,treizecisiopt,treintay ocho,trettioåtta,otuz sekiz,tri deg wyth,tri deg wyth,ochd deug air fhichead,trithead 's a ochd
39,sanshijiu,trideset devet,tricetdevet,niogtredive,negenendertig,thirty-nine,kolmkümmend üheksa,kolmekymmentäyhdeksän,trente-neuf,neununddreißig,harminckilenc,trentanove,sanjuuku,trettini,trzydzìescidziewiec,trintae nove,treizecisinoua,treintay nueve,trettionio,otuz dokuz,tri deg naw,tri deg naw,naoi deug air fhichead,trithead 's a naoi
40,sishi,cetrdeset,ctryricet,fyrre,veertig,forty,nelikümmend,neljäkymmentä,quarante,vierzig,negyven,quaranta,yonjuu,førti,czterdziesci,quarenta,patruzeci,cuarenta,fyrtio,kirk,pedwar deg,pedwar deg,dà fhichead,ceathrad
41,sishiyi,cetrdeset jedan,ctryricetjedna,énogfyrre,eenenveertig,forty-one,nelikümmend üks,neljäkymmentäyksi,quaranteet un,einundvierzig,negyvenegy,quarantuno,yonjuuichi,førtien,czterdziescijeden,quarentae um,patruzecisiunu,cuarentay uno,fyrtioen,kirk bir,pedwar deg un,pedwar deg un,dà fhichead 's a h-aon,ceathrad 's a h-aon
42,sishier,cetrdeset dva,ctryricetdva,toogfyrre,tweeënveertig,forty-two,nelikümmend kaks,neljäkymmentäkaksi,quarante-deux,zweiundvierzig,negyvenkettö,quarantadue,yonjuuni,førtito,czterdziescidwa,quarentae dois,patruzecisidoi,cuarentay dos,fyrtiotvå,kirk iki,pedwar deg dau,pedwar deg dwy,dà fhichead 's a dhà,ceathrad 's a dhà
43,sishisan,cetrdeset tri,ctryricettri,treogfyrre,drieënveertig,forty-three,nelikümmend kolm,neljäkymmentäkolme,quarante-trois,dreiundvierzig,negyvenhárom,quarantatre,yonjuusan,førtitre,czterdziescitrzy,quarentae três,patruzecisitrei,cuarentay tres,fyrtiotre,kirk üç,pedwar deg tri,pedwar deg tair,dà fhichead 's a trì,ceathrad 's a trì
44,sishisi,cetrdeset četiri,ctryricetchtyri,fireogfyrre,vierenveertig,forty-four,nelikümmend neli,neljäkymmentäneljä,quarante-quatre,vierundvierzig,negyvennégy,quarantaquattro,yonjuushi,førtifire,czterdziescicztery,quarentae quatro,patruzecisipatru,cuarentay cuatro,fyrtiofyra,kirk dört,pedwar deg pedwar,pedwar deg pedair,dà fhichead 's a ceithir,ceathrad 's a ceithir
45,sishiwu,cetrdeset pet,ctryricetpet,femogfyrre,vijfenveertig,forty-five,nelikümmend viis,neljäkymmentäviisi,quarante-cinq,fünfundvierzig,negyvenöt,quarantacinque,yonjuugo,førtifem,czterdziescipiec,quarentae cinco,patruzecisicinci,cuarentay cinco,fyrtiofem,kirk bes,pedwar deg pump,pedwar deg pump,dà fhichead 's a còig,ceathrad 's a còig
46,sishiliu,cetrdeset šest,ctryricetshest,seksogfyrre,zesenveertig,forty-six,nelikümmend kuus,neljäkymmentäkuusi,quarante-six,sechsundvierzig,negyvenhat,quarantasei,yonjuuroku,førtiseks,czterdziesciszesc,quarentae seis,patruzecisisase,cuarentay seis,fyrtiosex,kirk alti,pedwar deg chwech,pedwar deg chwech,dà fhichead 's a sia,ceathrad 's a sia
47,sishiqi,cetrdeset sedam,ctryricetsedm,syvogfyrre,zevenenveertig,forty-seven,nelikümmend seitse,neljäkymmentäseitsemän,quarante-sept,siebenundvierzig,negyvenhét,quarantasette,yonjuushichi,førtisyv,czterdziescisiedem,quarentae sete,patruzecisisapte,cuarentay siete,fyrtiosju,kirk yedi,pedwar deg saith,pedwar deg saith,dà fhichead 's a seachd,ceathrad 's a seachd
48,sishiba,cetrdeset osam,ctryricetosm,otteogfyrre,achtenveertig,forty-eight,nelikümmend kaheksa,neljäkymmentäkahdeksan,quarante-huit,achtundvierzig,negyvennyolc,quarantotto,yonjuuhachi,førtiåtte,czterdziesciosiem,quarentae oito,patruzecisiopt,cuarentay ocho,fyrtioåtta,kirk sekiz,pedwar deg wyth,pedwar deg wyth,dà fhichead 's a ochd,ceathrad 's a ochd
49,sishijiu,cetrdeset devet,ctryricetdevet,niogfyrre,negenenveertig,forty-nine,nelikümmend üheksa,neljäkymmentäyhdeksän,quarante-neuf,neunundvierzig,negyvenkilenc,quarantanove,yonjuuku,førtini,czterdziescidziewiec,quarentae nove,patruzecisinoua,cuarentay nueve,fyrtionio,kirk dokuz,pedwar deg naw,pedwar deg naw,dà fhichead 's a naoi,ceathrad 's a naoi
50,wushi,pedeset,padesát,halvtreds,vijftig,fifty,viiskümmend,viisikymmentä,cinquante,funfzig,ötven,cinquanta,gojuu,femti,piecdziesiat,cinquenta,cincizeci,cincuenta,femtio,elli,pum deg,pum deg,leth cheud,caogad
51,wushiyi,pedeset jedan,padesátjedna,énoghalvtreds,eenenvijftig,fifty-one,viiskümmend üks,viisikymmentäyksi,cinquanteet un,einundfunfzig,ötvenegy,cinquantuno,gojuuichi,femtien,piecdziesiatjeden,cinquentae um,cincizecisiunu,cincuentay uno,femtioen,elli bir,pum deg un,pum deg un,leth cheud 's a h-aon,caogad 's a h-aon
52,wushier,pedeset dva,padesátdva,tooghalvtreds,tweeënvijftig,fifty-two,viiskümmend kaks,viisikymmentäkaksi,cinquante-deux,zweiundfunfzig,ötvenkettö,cinquantadue,gojuuni,femtito,piecdziesiatdwa,cinquentae dois,cincizecisidoi,cincuentay dos,femtiotvå,elli iki,pum deg dau,pum deg dwy,leth cheud 's a dhà,caogad 's a dhà
53,wushisan,pedeset tri,padesáttri,treoghalvtreds,drieënvijftig,fifty-three,viiskümmend kolm,viisikymmentäkolme,cinquante-trois,dreiundfunfzig,ötvenhárom,cinquantatre,gojuusan,femtitre,piecdziesiattrzy,cinquentae três,cincizecisitrei,cincuentay tres,femtiotre,elli üç,pum deg tri,pum deg tair,leth cheud 's a trì,caogad 's a trì
54,wushisi,pedeset četiri,padesátchtyri,fireoghalvtreds,vierenvijftig,fifty-four,viiskümmend neli,viisikymmentäneljä,cinquante-quatre,vierundfunfzig,ötvennégy,cinquantaquattro,gojuushi,femtifire,piecdziesiatcztery,cinquentae quatro,cincizecisipatru,cincuentay cuatro,femtiofyra,elli dört,pum deg pedwar,pum deg pedair,leth cheud 's a ceithir,caogad 's a ceithir
55,wushiwu,pedeset pet,padesátpet,femoghalvtreds,vijfenvijftig,fifty-five,viiskümmend viis,viisikymmentäviisi,cinquante-cinq,fünfundfunfzig,ötvenöt,cinquantacinque,gojuugo,femtifem,piecdziesiatpiec,cinquentae cinco,cincizecisicinci,cincuentay cinco,femtiofem,elli bes,pum deg pump,pum deg pump,leth cheud 's a còig,caogad 's a còig
56,wushiliu,pedeset šest,padesátshest,seksoghalvtreds,zesenvijftig,fifty-six,viiskümmend kuus,viisikymmentäkuusi,cinquante-six,sechsundfunfzig,ötvenhat,cinquantasei,gojuuroku,femtiseks,piecdziesiatszesc,cinquentae seis,cincizecisisase,cincuentay seis,femtiosex,elli alti,pum deg chwech,pum deg chwech,leth cheud 's a sia,caogad 's a sia
57,wushiqi,pedeset sedam,padesátsedm,syvoghalvtreds,zevenenvijftig,fifty-seven,viiskümmend seitse,viisikymmentäseitsemän,cinquante-sept,siebenundfunfzig,ötvenhét,cinquantasette,gojuushichi,femtisyv,piecdziesiatsiedem,cinquentae sete,cincizecisisapte,cincuentay siete,femtiosju,elli yedi,pum deg saith,pum deg saith,leth cheud 's a seachd,caogad 's a seachd
58,wushiba,pedeset osam,padesátosm,otteoghalvtreds,achtenvijftig,fifty-eight,viiskümmend kaheksa,viisikymmentäkahdeksan,cinquante-huit,achtundfunfzig,ötvennyolc,cinquantotto,gojuuhachi,femtiåtte,piecdziesiatosiem,cinquentae oito,cincizecisiopt,cincuentay ocho,femtioåtta,elli sekiz,pum deg wyth,pum deg wyth,leth cheud 's a ochd,caogad 's a ochd
59,wushijiu,pedeset devet,padesátdevet,nioghalvtreds,negenenvijftig,fifty-nine,viiskümmend üheksa,viisikymmentäyhdeksän,cinquante-neuf,neunundfunfzig,ötvenkilenc,cinquantanove,gojuuku,femtini,piecdziesiatdziewiec,cinquentae nove,cincizecisinoua,cincuentay nueve,femtionio,elli dokuz,pum deg naw,pum deg naw,leth cheud 's a naoi,caogad 's a naoi
60,liushi,šezdeset,sedesát,tres,zestig,sixty,kuuskümmend,kuusikymmentä,soixante,sechzig,hatvan,sessanta,rokujuu,seksti,szescdziesiat,sessenta,saizeci,sesenta,sextio,altmis,chwe deg,chwe deg,trì fichead,seasgad
61,liushiyi,šezdeset jedan,sedesátjedna,énogtres,eenenzestig,sixty-one,kuuskümmend üks,kuusikymmentäyksi,soixanteet un,einundsechzig,hatvanegy,sessantuno,rokujuuichi,sekstien,szescdziesiatjeden,sessentae um,saizecisiunu,sesentay uno,sextioen,altmis bir,chwe deg un,chwe deg un,trì fichead 's a h-aon,seasgad 's a h-aon
62,liushier,šezdeset dva,sedesátdva,toogtres,tweeënzestig,sixty-two,kuuskümmend kaks,kuusikymmentäkaksi,soixante-deux,zweiundsechzig,hatvankettö,sessantadue,rokujuuni,sekstito,szescdziesiatdwa,sessentae dois,saizecisidoi,sesentay dos,sextiotvå,altmis iki,chwe deg dau,chwe deg dwy,trì fichead 's a dhà,seasgad 's a dhà
63,liushisan,šezdeset tri,sedesáttri,treogtres,drieënzestig,sixty-three,kuuskümmend kolm,kuusikymmentäkolme,soixante-trois,dreiundsechzig,hatvanhárom,sessantatre,rokujuusan,sekstitre,szescdziesiattrzy,sessentae três,saizecisitrei,sesentay tres,sextiotre,altmis üç,chwe deg tri,chwe deg tair,trì fichead 's a trì,seasgad 's a trì
64,liushisi,šezdeset četiri,sedesátchtyri,fireogtres,vierenzestig,sixty-four,kuuskümmend neli,kuusikymmentäneljä,soixante-quatre,vierundsechzig,hatvannégy,sessantaquattro,rokujuushi,sekstifire,szescdziesiatcztery,sessentae quatro,saizecisipatru,sesentay cuatro,sextiofyra,altmis dört,chwe deg pedwar,chwe deg pedair,trì fichead 's a ceithir,seasgad 's a ceithir
65,liushiwu,šezdeset pet,sedesátpet,femogtres,vijfenzestig,sixty-five,kuuskümmend viis,kuusikymmentäviisi,soixante-cinq,fünfundsechzig,hatvanöt,sessantacinque,rokujuugo,sekstifem,szescdziesiatpiec,sessentae cinco,saizecisicinci,sesentay cinco,sextiofem,altmis bes,chwe deg pump,chwe deg pump,trì fichead 's a còig,seasgad 's a còig
66,liushiliu,šezdeset šest,sedesátshest,seksogtres,zesenzestig,sixty-six,kuuskümmend kuus,kuusikymmentäkuusi,soixante-six,sechsundsechzig,hatvanhat,sessantasei,rokujuuroku,sekstiseks,szescdziesiatszesc,sessentae seis,saizecisisase,sesentay seis,sextiosex,altmis alti,chwe deg chwech,chwe deg chwech,trì fichead 's a sia,seasgad 's a sia
67,liushiqi,šezdeset sedam,sedesátsedm,syvogtres,zevenenzestig,sixty-seven,kuuskümmend seitse,kuusikymmentäseitsemän,soixante-sept,siebenundsechzig,hatvanhét,sessantasette,rokujuushichi,sekstisyv,szescdziesiatsiedem,sessentae sete,saizecisisapte,sesentay siete,sextiosju,altmis yedi,chwe deg saith,chwe deg saith,trì fichead 's a seachd,seasgad 's a seachd
68,liushiba,šezdeset osam,sedesátosm,otteogtres,achtenzestig,sixty-eight,kuuskümmend kaheksa,kuusikymmentäkahdeksan,soixante-huit,achtundsechzig,hatvannyolc,sessantotto,rokujuuhachi,sekstiåtte,szescdziesiatosiem,sessentae oito,saizecisiopt,sesentay ocho,sextioåtta,altmis sekiz,chwe deg wyth,chwe deg wyth,trì fichead 's a ochd,seasgad 's a ochd
69,liushijiu,šezdeset devet,sedesátdevet,niogtres,negenenzestig,sixty-nine,kuuskümmend üheksa,kuusikymmentäyhdeksän,soixante-neuf,neunundsechzig,hatvankilenc,sessantanove,rokujuuku,sekstini,szescdziesiatdziewiec,sessentae nove,saizecisinoua,sesentay nueve,sextionio,altmis dokuz,chwe deg naw,chwe deg naw,trì fichead 's a naoi,seasgad 's a naoi
70,qishi,sedamdeset,sedmdesát,halvfjerds,zeventig,seventy,seitsekümmend,seitsemänkymmentä,soixante-dix,siebzig,hetven,settanta,nanajuu,sytti,siedemdziesiat,setenta,saptezeci,setenta,sjuttio,yetmis,saith deg,saith deg,trì fichead ’s a deich,seachdad
71,qishiyi,sedamdeset jedan,sedmdesátjedna,énoghalvfjerds,eenenzeventig,seventy-one,seitsekümmend üks,seitsemänkymmentäyksi,soixante et onze,einundsiebzig,hetvenegy,settantuno,nanajuuichi,syttien,siedemdziesiatjeden,setentae um,saptezecisiunu,setentay uno,sjuttioen,yetmis bir,saith deg un,saith deg un,trì fichead ’s a deich 's a h-aon,seachdad 's a h-aon
72,qishier,sedamdeset dva,sedmdesátdva,tooghalvfjerds,tweeënzeventig,seventy-two,seitsekümmend kaks,seitsemänkymmentäkaksi,soixante-douze,zweiundsiebzig,hetvenkettö,settantadue,nanajuuni,syttito,siedemdziesiatdwa,setentae dois,saptezecisidoi,setentay dos,sjuttiotvå,yetmis iki,saith deg dau,saith deg dwy,trì fichead ’s a deich 's a dhà,seachdad 's a dhà
73,qishisan,sedamdeset tri,sedmdesáttri,treoghalvfjerds,drieënzeventig,seventy-three,seitsekümmend kolm,seitsemänkymmentäkolme,soixante-treize,dreiundsiebzig,hetvenhárom,settantatre,nanajuusan,syttitre,siedemdziesiattrzy,setentae três,saptezecisitrei,setentay tres,sjuttiotre,yetmis üç,saith deg tri,saith deg tair,trì fichead ’s a deich 's a trì,seachdad 's a trì
74,qishisi,sedamdeset četiri,sedmdesátchtyri,fireoghalvfjerds,vierenzeventig,seventy-four,seitsekümmend neli,seitsemänkymmentäneljä,soixante-quatorze,vierundsiebzig,hetvennégy,settantaquattro,nanajuushi,syttifire,siedemdziesiatcztery,setentae quatro,saptezecisipatru,setentay cuatro,sjuttiofyra,yetmis dört,saith deg pedwar,saith deg pedair,trì fichead ’s a deich 's a ceithir,seachdad 's a ceithir
75,qishiwu,sedamdeset pet,sedmdesátpet,femoghalvfjerds,vijfenzeventig,seventy-five,seitsekümmend viis,seitsemänkymmentäviisi,soixante-quinze,fünfundsiebzig,hetvenöt,settantacinque,nanajuugo,syttifem,siedemdziesiatpiec,setentae cinco,saptezecisicinci,setentay cinco,sjuttiofem,yetmis bes,saith deg pump,saith deg pump,trì fichead ’s a deich 's a còig,seachdad 's a còig
76,qishiliu,sedamdeset šest,sedmdesátshest,seksoghalvfjerds,zesenzeventig,seventy-six,seitsekümmend kuus,seitsemänkymmentäkuusi,soixante-seize,sechsundsiebzig,hetvenhat,settantasei,nanajuuroku,syttiseks,siedemdziesiatszesc,setentae seis,saptezecisisase,setentay seis,sjuttiosex,yetmis alti,saith deg chwech,saith deg chwech,trì fichead ’s a deich 's a sia,seachdad 's a sia
77,qishiqi,sedamdeset sedam,sedmdesátsedm,syvoghalvfjerds,zevenenzeventig,seventy-seven,seitsekümmend seitse,seitsemänkymmentäseitsemän,soixante-dix-sept,siebenundsiebzig,hetvenhét,settantasette,nanajuushichi,syttisyv,siedemdziesiatsiedem,setentae sete,saptezecisisapte,setentay siete,sjuttiosju,yetmis yedi,saith deg saith,saith deg saith,trì fichead ’s a deich 's a seachd,seachdad 's a seachd
78,qishiba,sedamdeset osam,sedmdesátosm,otteoghalvfjerds,achtenzeventig,seventy-eight,seitsekümmend kaheksa,seitsemänkymmentäkahdeksan,soixante-dix-huit,achtundsiebzig,hetvennyolc,settantotto,nanajuuhachi,syttiåtte,siedemdziesiatosiem,setentae oito,saptezecisiopt,setentay ocho,sjuttioåtta,yetmis sekiz,saith deg wyth,saith deg wyth,trì fichead ’s a deich 's a ochd,seachdad 's a ochd
79,qishijiu,sedamdeset devet,sedmdesátdevet,nioghalvfjerds,negenenzeventig,seventy-nine,seitsekümmend üheksa,seitsemänkymmentäyhdeksän,soixante-dix-neuf,neunundsiebzig,hetvenkilenc,settantanove,nanajuuku,syttini,siedemdziesiatdziewiec,setentae nove,saptezecisinoua,setentay nueve,sjuttionio,yetmis dokuz,saith deg naw,saith deg naw,trì fichead ’s a deich 's a naoi,seachdad 's a naoi
80,bashi,osamdeset,osmdesát,firs,tachtig,eighty,kaheksakümmend,kahdeksankymmentä,quatre-vingts,achtzig,nyolcvan,ottanta,hachijuu,åtti,osiemdziesiat,oitenta,optzeci,ochenta,åttio,seksen,wyth deg,wyth deg,ceithir fichead,ochdad
